,precision,recall,f1-score,support
0,0.9983572145660309,0.9846084608460846,0.9914351746952463,11110.0
1,0.8891050583657587,0.9870410367170627,0.9355168884339816,1389.0
accuracy,0.9848787903032242,0.9848787903032242,0.9848787903032242,0.9848787903032242
macro avg,0.9437311364658948,0.9858247487815737,0.963476031564614,12499.0
weighted avg,0.9862161436833861,0.9848787903032242,0.9852210375949265,12499.0
