,precision,recall,f1-score,support
0,0.9992778479870013,0.9963996399639964,0.997836668469443,11110.0
1,0.971850809289233,0.994240460763139,0.9829181494661922,1389.0
accuracy,0.996159692775422,0.996159692775422,0.996159692775422,0.996159692775422
macro avg,0.985564328638117,0.9953200503635677,0.9903774089678176,12499.0
weighted avg,0.9962299116119954,0.996159692775422,0.9961787900075247,12499.0
