,precision,recall,f1-score,support
0,0.9980823669071318,0.983709837098371,0.9908439851328076,11111.0
1,0.8830749354005168,0.9848703170028819,0.9311989100817438,1388.0
accuracy,0.9838387070965677,0.9838387070965677,0.9838387070965677,0.9838387070965677
macro avg,0.9405786511538243,0.9842900770506264,0.9610214476072757,12499.0
weighted avg,0.9853109199968845,0.9838387070965677,0.9842204661176163,12499.0
