IndLatency,DRB.UEThpDl,DRB.UEThpUl
1.0,-0.4615382,-0.6877994
-0.27545878,-0.35435843,-0.5234941
-0.8884459,-0.39455086,-0.634987
1.0,-0.44979662,-0.6877994
-0.18237221,-0.28029603,-0.5293622
-0.88142437,-0.48231182,-0.6877994
-0.7795536,-0.43459272,-0.6877994
-0.11738643,-0.33042365,-0.5176261
-0.57053864,-0.45988235,-0.6232509
-0.75847435,-0.33072472,-0.500022
-0.4774449,-0.4416678,-0.6877994
-0.35450214,-0.36579898,-0.5234941
-0.37732953,-0.4330874,-0.6701952
-0.6724094,-0.3659495,-0.048182547
-0.57053864,-0.43323794,-0.6936674
-0.4265095,-0.43293688,-0.6936674
-0.4423225,-0.4767421,-0.6995355
-0.8656114,-0.33403644,-0.50589
-0.7514456,-0.37633634,-0.50589
-0.52135867,-0.38868004,-0.6760633
-0.24911338,-0.40222806,-0.49415392
-0.38435835,-0.42149633,-0.6877994
-0.60742366,-0.33599338,-0.500022
-0.5564883,-0.43775395,-0.6819314
-0.84453934,-0.34848765,-0.5117581
-0.6934886,-0.44859233,-0.6819314
-0.9955901,-0.37558365,-0.500022
-0.65835905,-0.31868204,-0.500022
-0.89547473,-0.4385066,-0.6877994
-0.6724094,-0.36519685,-0.49415392
-0.9745109,-0.47207555,-0.6877994
-0.7514456,-0.36354098,-0.5234941
-0.52135867,-0.45943075,-0.6877994
-0.11738643,-0.3636915,-0.5234941
-0.11738643,-0.4457322,-0.6760633
-0.24032919,-0.35194993,-0.5234941
-0.765496,-0.48517197,-0.6877994
-0.84453934,-0.3365955,-0.500022
-1.0,-0.46891433,-0.6936674
-0.14021383,-0.32771403,-0.5176261
-0.28424296,-0.46349514,-0.6877994
-0.765496,-0.42074367,-0.6877994
-0.46339452,-0.4701186,-0.6819314
-0.9955901,-0.41968992,-0.6408551
-0.34747335,-0.3298215,0.057442248
-0.82346016,-0.46048447,-0.5645704
-0.84453934,-0.39891633,-0.5234941
-0.24032919,-0.46198982,-0.6819314
-0.24032919,-0.3433695,-0.50589
-0.5073083,-0.4376034,-0.6936674
-0.90776974,-0.460635,-0.6760633
-0.2333076,-0.33674604,-0.5176261
-0.27545878,-0.4308294,-0.0951269
-0.20344421,-0.38837898,-0.4765498
-0.33342296,-0.4204426,-0.6760633
-0.34747335,-0.3090479,-0.50589
-0.49852407,-0.42827034,-0.6877994
-0.62849563,-0.36625057,-0.5176261
-0.14724262,-0.3689602,-0.5117581
-0.84453934,-0.4231522,-0.6877994
-0.7145606,-0.36188513,-0.5176261
-0.39137992,-0.3370471,-0.5176261
-0.17534342,-0.43685073,-0.6877994
-0.33342296,-0.33358485,-0.5176261
1.0,-0.44377527,-0.6760633
-0.9446547,-0.3298215,-0.5117581
-0.17534342,-0.46936595,-0.6877994
-0.80062556,-0.33749872,-0.5234941
-0.1964226,-0.35210043,-0.49415392
-0.26843718,-0.4484418,-0.6936674
-0.9604605,-0.35857338,-0.5176261
-0.80062556,-0.44558167,-0.6877994
-0.21925719,-0.3334343,-0.5117581
-0.08225685,-0.42119527,-0.6877994
-0.45637292,-0.36022925,-0.5117581
-0.9235755,-0.45943075,-0.6819314
