IndLatency,DRB.UEThpDl,DRB.UEThpUl
1.0,-0.9615382,-1.0
-0.77545875,-0.85435843,-1.0
-1.0,-0.89455086,-1.0
1.0,-0.9497966,-1.0
-0.6823722,-0.780296,-1.0
-1.0,-0.98231184,-1.0
-1.0,-0.9345927,-1.0
-0.61738646,-0.83042365,-1.0
-1.0,-0.9598824,-1.0
-1.0,-0.8307247,-1.0
-0.9774449,-0.9416678,-1.0
-0.85450214,-0.865799,-1.0
-0.8773295,-0.9330874,-1.0
-1.0,-0.8659495,-0.54818255
-1.0,-0.9332379,-1.0
-0.9265095,-0.9329369,-1.0
-0.9423225,-0.9767421,-1.0
-1.0,-0.83403647,-1.0
-1.0,-0.87633634,-1.0
-1.0,-0.88868004,-1.0
-0.7491134,-0.90222806,-0.9941539
-0.88435835,-0.92149633,-1.0
-1.0,-0.83599335,-1.0
-1.0,-0.9377539,-1.0
-1.0,-0.8484877,-1.0
-1.0,-0.9485923,-1.0
-1.0,-0.87558365,-1.0
-1.0,-0.818682,-1.0
-1.0,-0.9385066,-1.0
-1.0,-0.8651968,-0.9941539
-1.0,-0.9720756,-1.0
-1.0,-0.863541,-1.0
-1.0,-0.95943075,-1.0
-0.61738646,-0.8636915,-1.0
-0.61738646,-0.94573224,-1.0
-0.7403292,-0.85194993,-1.0
-1.0,-0.985172,-1.0
-1.0,-0.83659554,-1.0
-1.0,-0.96891433,-1.0
-0.64021385,-0.827714,-1.0
-0.784243,-0.96349514,-1.0
-1.0,-0.92074364,-1.0
-0.9633945,-0.97011864,-1.0
-1.0,-0.91968995,-1.0
-0.8474733,-0.8298215,-0.44255775
-1.0,-0.9604845,-1.0
-1.0,-0.8989163,-1.0
-0.7403292,-0.9619898,-1.0
-0.7403292,-0.8433695,-1.0
-1.0,-0.9376034,-1.0
-1.0,-0.960635,-1.0
-0.7333076,-0.83674604,-1.0
-0.77545875,-0.9308294,-0.59512687
-0.7034442,-0.888379,-0.9765498
-0.83342296,-0.9204426,-1.0
-0.8474733,-0.8090479,-1.0
-0.99852407,-0.92827034,-1.0
-1.0,-0.8662506,-1.0
-0.6472426,-0.8689602,-1.0
-1.0,-0.9231522,-1.0
-1.0,-0.86188513,-1.0
-0.89137995,-0.8370471,-1.0
-0.6753434,-0.9368507,-1.0
-0.83342296,-0.83358485,-1.0
1.0,-0.9437753,-1.0
-1.0,-0.8298215,-1.0
-0.6753434,-0.96936595,-1.0
-1.0,-0.8374987,-1.0
-0.6964226,-0.85210043,-0.9941539
-0.76843715,-0.9484418,-1.0
-1.0,-0.8585734,-1.0
-1.0,-0.9455817,-1.0
-0.7192572,-0.8334343,-1.0
-0.58225685,-0.92119527,-1.0
-0.9563729,-0.86022925,-1.0
-1.0,-0.95943075,-1.0
-1.0,-0.8662506,-1.0
-0.8123438,-0.9287219,-1.0
-0.58225685,-0.8456275,-1.0
-0.6964226,-0.95958126,-1.0
-0.8703079,-0.82048845,-1.0
-0.86327916,-0.9559685,-1.0
-1.0,-0.86549795,-1.0
-1.0,-0.8927445,-1.0
-0.89137995,-0.8743794,-1.0
-1.0,-0.95085037,-1.0
-0.9054375,-0.85164887,-1.0
-1.0,-0.9455817,-1.0
-1.0,-0.84893924,-1.0
-1.0,-0.9604845,-1.0
-1.0,-0.843219,-1.0
-1.0,-0.9797528,-1.0
-1.0,-0.79610205,-1.0
-1.0,-0.9389582,-1.0
-1.0,-0.9035829,-1.0
-0.66832185,-0.95401156,-1.0
-1.0,-0.8400578,-1.0
-1.0,-0.98923635,-1.0
-0.6753434,-0.7914355,-1.0
-1.0,-0.94588274,-1.0
-1.0,-0.84954137,-1.0
-1.0,-0.8332838,-1.0
-1.0,-0.9497966,-1.0
-0.8474733,-0.883863,-0.6362032
-1.0,-0.9035829,-1.0
-1.0,-0.86790645,-1.0
-1.0,-0.9424205,-1.0
-0.9915025,-0.8605303,-1.0
-1.0,-0.93414116,-1.0
-1.0,-0.924507,-1.0
-1.0,-0.91532445,-1.0
-0.7034442,-0.86640114,-1.0
-1.0,-0.9377539,-1.0
-0.9563729,-0.8775406,-1.0
-0.7614084,-0.9231522,-1.0
-1.0,-0.87859434,-1.0
-0.6542642,-0.94723755,-1.0
-0.61035764,-0.8983142,-1.0
-0.82639414,-0.94723755,-1.0
-1.0,-0.8697128,-1.0
-1.0,-0.9394098,-1.0
-0.8474733,-0.8492403,-1.0
-0.6314368,-0.9348938,-1.0
-0.7262788,-0.9293241,-1.0
-0.99852407,-0.85420793,-1.0
-0.6753434,-0.9532589,-1.0
-0.9633945,-0.8600787,-1.0
-0.57522804,-0.9202921,-1.0
-1.0,-0.87091714,-1.0
-1.0,-0.9227006,-1.0
-0.76843715,-0.8505951,-1.0
-1.0,-0.8492403,-1.0
-1.0,-0.9281198,-1.0
-0.93529373,-0.8247034,-1.0
-1.0,-0.97568834,-1.0
-1.0,-0.8697128,-1.0
-1.0,-0.92209846,-1.0
-1.0,-0.8076931,-1.0
-1.0,-0.9574738,-1.0
-1.0,-0.9111095,-1.0
-1.0,-0.9255607,-1.0
-1.0,-0.8852178,-1.0
-1.0,-0.9287219,-1.0
-1.0,-0.8501435,-1.0
-0.5611777,-0.8948519,-1.0
-1.0,-0.94317317,-1.0
-1.0,-0.859025,-1.0
-1.0,-0.96274245,-1.0
-1.0,-0.8430684,-1.0
-0.7262788,-0.95130193,-1.0
-1.0,-0.8636915,-1.0
-0.6823722,-0.9613877,-0.55405056
-0.9844737,-0.8569175,-1.0
-1.0,-0.9421194,-1.0
-1.0,-0.83223003,-1.0
-1.0,-0.95039874,-1.0
-1.0,-0.8668527,-1.0
-0.58225685,-0.9434742,-1.0
-1.0,-0.86158407,-1.0
-0.6753434,-0.94046354,-1.0
-0.7614084,-0.856767,-1.0
-1.0,-0.9705702,-1.0
-0.82639414,-0.7944462,-1.0
-1.0,-0.80528456,-1.0
-1.0,-0.97839797,-1.0
-1.0,-0.86158407,-1.0
-1.0,-0.9303778,-1.0
-1.0,-0.90614194,-1.0
1.0,-0.92149633,-1.0
-1.0,-0.87016445,-1.0
-0.64021385,-0.93143153,-1.0
-0.7491134,-0.91080844,-1.0
-1.0,-0.8739278,-1.0
-1.0,-0.93594754,-1.0
-1.0,-0.8514983,-1.0
-0.86327916,-0.92149633,-1.0
-0.7192572,-0.8599282,-1.0
-1.0,-0.9753873,-1.0
-1.0,-0.8406599,-1.0
-1.0,-0.9248081,-1.0
-0.5383431,-0.888379,-1.0
-0.7262788,-0.86926126,-0.47189796
-1.0,-0.9272166,-1.0
-1.0,-0.8057362,-1.0
-0.84044456,-0.95867807,-1.0
-0.7333076,-0.8486382,-1.0
-1.0,-0.94121623,-1.0
-0.58927846,-0.92375433,-1.0
-1.0,-0.91833514,-1.0
-0.9054375,-0.8623367,-1.0
-0.9423225,-0.93820554,-1.0
-1.0,-0.865799,-1.0
-0.6964226,-0.94588274,-1.0
-0.9563729,-0.8859705,-1.0
-1.0,-0.8707666,-1.0
-1.0,-0.9452806,-1.0
-0.79829335,-0.8284667,-1.0
-0.82639414,-0.9574738,-0.7653002
-0.8984087,-0.8852178,-1.0
-0.8053222,-0.836445,-1.0
-0.82112795,-0.9607855,-1.0
-1.0,-0.8802502,-1.0
-0.7034442,-0.9407646,-1.0
-0.8984087,-0.84577805,-0.4366897
-0.7543868,-0.91201276,-1.0
-0.6753434,-0.8856694,-1.0
-1.0,-0.93384004,-0.8826611
-1.0,-0.8391546,-0.9941539
-0.9704233,-0.95476425,-1.0
-0.9054375,-0.8837125,-1.0
-0.82639414,-0.83192897,-1.0
-0.61035764,-0.9687638,-1.0
-1.0,-0.9485923,-1.0
-1.0,-0.8438211,-1.0
-1.0,-0.9666563,-1.0
-0.784243,-0.852251,-0.07287091
-1.0,-0.89169073,-1.0
-1.0,-0.9406141,-1.0
1.0,-0.9249586,-1.0
-0.83342296,-0.868057,-1.0
-0.8123438,-0.9491945,-1.0
-0.7262788,-0.8799491,-0.9941539
-1.0,-0.9522051,-1.0
-0.83342296,-0.90177643,-1.0
-1.0,-0.84050936,-1.0
-1.0,-0.953861,-1.0
-0.6314368,-0.8599282,-1.0
-1.0,-0.81823045,-1.0
-1.0,-0.9645489,-1.0
-0.7192572,-0.88461566,-1.0
-1.0,-0.9333885,-1.0
-1.0,-0.86113244,-1.0
1.0,-0.942571,-1.0
-1.0,-0.8767879,-1.0
-1.0,-0.825456,-1.0
-1.0,-0.91667926,-1.0
-0.91245914,-0.8540574,-1.0
-1.0,-0.9574738,-1.0
-0.7912646,-0.85420793,-0.7124878
-1.0,-0.93820554,-1.0
-1.0,-0.85330474,-1.0
-1.0,-0.88401353,-0.9706818
-0.7543868,-0.90538925,-1.0
-0.66832185,-0.94633436,-1.0
-0.7543868,-0.84487486,-1.0
-1.0,-0.87483096,-1.0
-1.0,-0.9371518,-1.0
-1.0,-0.9270661,-0.61273104
-0.89137995,-0.8980131,-1.0
-1.0,-0.9026797,-1.0
-0.82639414,-0.8685086,-1.0
-1.0,-0.9434742,-1.0
-1.0,-0.84186417,-1.0
-0.5611777,-0.94723755,-1.0
-0.6314368,-0.8558638,-1.0
-1.0,-0.91848564,-1.0
-0.61738646,-0.9056903,-1.0
-1.0,-0.9323347,-1.0
-0.93529373,-0.87483096,-1.0
-1.0,-0.85029405,-1.0
-1.0,-0.9141202,-1.0
-0.8984087,-0.8659495,-1.0
-1.0,-0.8897338,-1.0
-1.0,-0.9162277,-1.0
-0.6823722,-0.8948519,-1.0
-1.0,-0.8393051,-1.0
-1.0,-0.90448606,-1.0
-0.6542642,-0.9123138,-1.0
-0.61035764,-0.9552158,-1.0
-1.0,-0.8901854,-1.0
-1.0,-0.9111095,-1.0
-0.58225685,-0.88687366,-1.0
-1.0,-0.9100558,-1.0
-0.83342296,-0.85797125,-1.0
-1.0,-0.935496,-1.0
-1.0,-0.8957551,-1.0
-0.57522804,-0.8828093,-1.0
-1.0,-0.92375433,-1.0
-0.7034442,-0.890637,-1.0
-1.0,-0.89680886,-1.0
-1.0,-0.9002711,-1.0
-1.0,-0.89861524,-1.0
-0.9194879,-0.8942498,-1.0
-1.0,-0.83177847,-1.0
-0.86327916,-0.9452806,-1.0
-1.0,-0.8972604,-1.0
-1.0,-0.92887247,-1.0
-0.6542642,-0.7991127,-1.0
-1.0,-0.9339906,-1.0
-0.91245914,-0.9079483,-1.0
-1.0,-0.9055398,-1.0
-0.86327916,-0.9040345,-1.0
-0.7122284,-0.88235766,-1.0
-0.99852407,-0.8948519,-1.0
-0.83342296,-0.92962515,-1.0
-0.7614084,-0.90749675,-1.0
-1.0,-0.8987658,-1.0
-0.9844737,-0.9299262,-1.0
-0.9265095,-0.8903359,-0.20783597
-1.0,-0.888379,-1.0
-0.7192572,-0.8927445,-1.0
-0.83342296,-0.88235766,-1.0
-0.89137995,-0.8712182,-1.0
-0.6033288,-0.87016445,-1.0
-0.9704233,-0.9421194,-1.0
-0.82639414,-0.8995185,-1.0
-1.0,-0.9026797,-1.0
-0.88435835,-0.8871747,-1.0
-1.0,-0.9400119,-1.0
-0.6472426,-0.8950025,-1.0
-0.64021385,-0.9103569,-1.0
-0.7614084,-0.86173457,-1.0
-0.7614084,-0.94121623,-1.0
-1.0,-0.8850672,-1.0
-0.7403292,-0.90990525,-1.0
-1.0,-0.9049377,-1.0
-0.89137995,-0.9150234,-1.0
-1.0,-0.8171767,-1.0
-0.64021385,-0.95130193,-1.0
-1.0,-0.88928217,-1.0
-1.0,-0.9743335,-1.0
-1.0,-0.9080989,-1.0
-0.7403292,-0.9488934,-1.0
-0.6753434,-0.9100558,-1.0
-1.0,-0.8743794,-1.0
-1.0,-0.87317514,-1.0
-1.0,-0.8695623,-0.32519686
-1.0,-0.953861,-1.0
-1.0,-0.89229286,-1.0
-0.8984087,-0.8734762,-1.0
-1.0,-0.9329369,-1.0
-1.0,-0.91065794,-1.0
-1.0,-0.9279693,-1.0
-0.8703079,-0.88220716,-1.0
-1.0,-0.9376034,-1.0
-0.58927846,-0.86880964,-1.0
-0.61035764,-0.935496,-1.0
-1.0,-0.87859434,-1.0
-1.0,-0.89545405,-1.0
-0.77545875,-0.8969594,-1.0
-1.0,-0.8799491,-1.0
-1.0,-0.8629389,-1.0
-1.0,-0.9257113,-1.0
-1.0,-0.8847662,-1.0
-1.0,-0.9278187,-1.0
-1.0,-0.8865726,-1.0
-1.0,-0.89771205,-1.0
-1.0,-0.90523875,-1.0
-1.0,-0.90764725,-0.4249536
-1.0,-0.8828093,-1.0
-1.0,-0.93519485,-1.0
-0.7192572,-0.8852178,-1.0
-0.61738646,-0.90674406,-1.0
-0.83342296,-0.91396964,-1.0
-0.6823722,-0.8960562,-1.0
-0.66832185,-0.9332379,-1.0
-0.58927846,-0.8858199,-1.0
-0.82112795,-0.88175553,-1.0
-1.0,-0.87543315,-1.0
-1.0,-0.86489576,-1.0
-1.0,-0.9434742,-1.0
-1.0,-0.92616284,-1.0
-1.0,-0.958377,-1.0
-0.8984087,-0.92751765,-1.0
-0.64021385,-0.9276682,-1.0
-1.0,-0.8551111,-1.0
-1.0,-0.9202921,-1.0
-0.7262788,-0.8596271,-1.0
-1.0,-0.89921737,-1.0
-1.0,-0.9409151,-1.0
-0.8053222,-0.95190406,-1.0
-0.7034442,-0.89861524,-1.0
-0.6472426,-0.8942498,-1.0
-1.0,-0.92510915,-1.0
-1.0,-0.90855044,-1.0
-0.51727104,-0.90990525,-1.0
-1.0,-0.90659356,-1.0
-1.0,-0.8772395,-1.0
-1.0,-0.93654966,-1.0
-1.0,-0.8149187,-1.0
-1.0,-0.98622566,-1.0
-0.58927846,-0.8085963,-1.0
-1.0,-0.95642006,-1.0
-0.6823722,-0.8636915,-1.0
-1.0,-0.8676054,-1.0
-1.0,-0.95054924,-1.0
-1.0,-0.8456275,-1.0
-0.84044456,-0.9002711,-1.0
-1.0,-0.9485923,-1.0
-0.7543868,-0.8858199,-1.0
-0.76843715,-0.91878676,-1.0
-1.0,-0.8828093,-1.0
-0.7614084,-0.888379,-1.0
-0.88435835,-0.89440036,-1.0
-0.6472426,-0.89440036,-1.0
-1.0,-0.91080844,-1.0
-1.0,-0.8752826,-1.0
-1.0,-0.9028302,-1.0
-1.0,-0.8749815,-1.0
-0.661293,-0.94136673,-0.606863
-0.77545875,-0.9231522,-1.0
-0.7403292,-0.91908777,-1.0
-0.83342296,-0.9225501,-1.0
-1.0,-0.90764725,-1.0
-0.91245914,-0.90975475,-1.0
-0.8474733,-0.9329369,-1.0
-0.6753434,-0.85029405,-1.0
-0.6823722,-0.94573224,-1.0
-1.0,-0.8859705,-1.0
-1.0,-0.9124643,-1.0
-0.624408,-0.9005722,-1.0
-1.0,-0.888379,-1.0
-1.0,-0.8950025,-1.0
-1.0,-0.90990525,-1.0
-0.82639414,-0.89470136,-1.0
-0.58225685,-0.88311034,-1.0
-0.6542642,-0.859025,-1.0
-0.6964226,-0.8683581,-1.0
-1.0,-0.94181836,-1.0
-0.61738646,-0.9455817,-1.0
-0.661293,-0.8284667,-0.50710624
-0.6033288,-0.93956035,-0.5305784
-0.6964226,-0.8972604,-1.0
-1.0,-0.9276682,-1.0
-0.9704233,-0.8757342,-1.0
-1.0,-0.95190406,-1.0
-0.7543868,-0.8969594,-1.0
-0.82112795,-0.89756155,-1.0
-0.661293,-0.8879274,-1.0
-0.784243,-0.91306645,-1.0
-0.7543868,-0.9255607,-1.0
-1.0,-0.92661446,-1.0
-0.9265095,-0.8852178,-1.0
-0.6893938,-0.9023786,-1.0
-0.8474733,-0.8834114,-1.0
-1.0,-0.8751321,-1.0
-0.784243,-0.9520546,-1.0
-0.9704233,-0.8514983,-1.0
