,precision,recall,f1-score,support
0,0.9979919678714859,0.984069840698407,0.9909820093352064,11111.0
1,0.8852883992222942,0.984149855907781,0.9321050835892187,1388.0
accuracy,0.9840787262981039,0.9840787262981039,0.9840787262981039,0.9840787262981039
macro avg,0.94164018354689,0.984109848303094,0.9615435464622126,12499.0
weighted avg,0.9854763623602388,0.9840787262981039,0.9844437924430206,12499.0
