msg_count,ind_latency,recv_latency,class_latency,alloc_latency,tot_latency
4730.0,0.5,3.97,51.45,2.06,57.99
4731.0,0.5,3.97,48.95,2.18,55.6
4732.0,0.48,3.84,49.69,2.23,56.24
4733.0,0.48,3.84,48.06,2.31,54.68
4734.0,0.53,3.97,52.21,2.07,58.78
4735.0,0.53,3.97,53.07,1.85,59.42
4736.0,0.53,4.0,51.82,2.1,58.45
4737.0,0.53,4.0,54.99,2.22,61.74
4738.0,0.53,4.1,51.8,2.32,58.75
4739.0,0.53,4.1,55.9,2.12,62.65
4740.0,0.52,3.88,56.65,2.25,63.29
4741.0,0.52,3.88,52.95,2.41,59.76
4742.0,0.48,4.11,50.32,2.2,57.12
4743.0,0.48,4.11,51.49,2.43,58.51
4744.0,0.52,3.84,49.78,1.59,55.73
4745.0,0.52,3.84,53.39,1.74,59.49
4746.0,0.52,4.12,49.8,2.15,56.59
4747.0,0.52,4.12,52.13,2.09,58.86
4748.0,0.53,4.04,51.84,2.38,58.78
4749.0,0.53,4.04,49.49,1.81,55.88
4750.0,0.53,3.97,54.3,2.19,60.99
4751.0,0.53,3.97,49.82,1.74,56.06
4752.0,0.51,4.04,66.05,1.96,72.56
4753.0,0.51,4.04,49.34,2.62,56.52
4754.0,0.53,3.87,50.55,1.84,56.79
4755.0,0.53,3.87,48.7,2.37,55.47
4756.0,0.51,4.05,51.62,1.99,58.16
4757.0,0.51,4.05,50.79,1.66,57.01
4758.0,0.53,3.93,49.02,2.02,55.5
4759.0,0.53,3.93,55.22,2.55,62.22
4760.0,0.49,3.99,74.12,1.88,80.48
4761.0,0.49,3.99,52.6,1.67,58.76
4762.0,0.53,4.02,54.72,2.12,61.4
4763.0,0.53,4.02,49.96,2.46,56.97
4764.0,0.5,4.07,50.99,1.8,57.36
4765.0,0.5,4.07,48.81,1.92,55.3
4766.0,0.53,3.9,50.33,2.15,56.92
4767.0,0.53,3.9,48.91,1.86,55.2
4768.0,0.5,3.93,55.48,2.36,62.28
4769.0,0.5,3.93,48.4,1.83,54.66
4770.0,0.52,3.95,48.76,2.41,55.63
4771.0,0.52,3.95,58.87,1.76,65.09
4772.0,0.53,4.07,51.84,2.19,58.63
4773.0,0.53,4.07,52.38,1.83,58.81
4774.0,0.49,3.98,51.56,2.38,58.41
4775.0,0.49,3.98,64.91,2.2,71.58
4776.0,0.52,3.96,51.2,1.77,57.46
4777.0,0.52,3.96,49.14,2.15,55.78
4778.0,0.51,4.01,65.31,1.88,71.71
4779.0,0.51,4.01,49.46,1.6,55.58
4780.0,0.52,4.06,49.64,2.44,56.67
4781.0,0.52,4.06,49.13,1.48,55.18
4782.0,0.5,4.11,49.18,1.23,55.03
4783.0,0.5,4.11,54.04,1.71,60.36
4784.0,0.5,4.06,53.0,1.51,59.07
4785.0,0.5,4.06,64.69,2.6,71.85
4786.0,0.52,3.83,52.04,1.92,58.3
4787.0,0.52,3.83,50.26,2.45,57.06
4788.0,0.5,4.01,72.66,1.88,79.05
4789.0,0.5,4.01,67.98,1.92,74.42
4790.0,0.53,3.83,50.01,1.92,56.3
4791.0,0.53,3.83,48.71,1.93,55.01
4792.0,0.53,4.03,49.53,2.04,56.13
4793.0,0.53,4.03,65.91,2.07,72.54
4794.0,0.52,4.09,49.1,2.03,55.75
4795.0,0.52,4.09,53.47,2.17,60.26
4796.0,0.54,3.91,51.6,1.56,57.61
4797.0,0.54,3.91,49.25,2.04,55.74
4798.0,0.54,3.77,50.82,1.71,56.85
4799.0,0.54,3.77,50.13,2.3,56.75
4800.0,0.5,4.0,51.22,1.97,57.68
4801.0,0.5,4.0,49.03,1.85,55.38
4802.0,0.5,4.09,50.51,2.23,57.34
4803.0,0.5,4.09,48.51,2.21,55.31
4804.0,0.52,4.0,49.06,2.18,55.76
4805.0,0.52,4.0,47.89,1.6,54.01
4806.0,0.53,4.01,51.71,1.67,57.92
4807.0,0.53,4.01,52.16,2.21,58.91
4808.0,0.54,3.83,54.34,1.86,60.58
4809.0,0.54,3.83,52.32,2.21,58.91
4810.0,0.51,4.24,54.41,1.79,60.94
4811.0,0.51,4.24,54.28,1.69,60.71
4812.0,0.48,4.02,52.8,2.45,59.75
4813.0,0.48,4.02,51.03,1.57,57.11
4814.0,0.51,4.04,52.16,1.93,58.64
4815.0,0.51,4.04,48.16,1.91,54.62
4816.0,0.52,4.12,49.34,2.21,56.18
4817.0,0.52,4.12,48.63,2.14,55.4
4818.0,0.52,3.87,49.44,1.81,55.63
4819.0,0.52,3.87,52.13,1.82,58.34
4820.0,0.53,4.12,57.85,3.01,65.52
4821.0,0.53,4.12,51.54,2.11,58.3
4822.0,0.51,3.96,51.2,2.28,57.96
4823.0,0.51,3.96,48.91,1.82,55.21
4824.0,0.5,4.11,51.05,1.87,57.53
4825.0,0.5,4.11,49.56,2.19,56.37
4826.0,0.49,3.95,50.72,2.03,57.19
4827.0,0.49,3.95,48.56,1.88,54.88
4828.0,0.52,3.88,52.07,2.59,59.06
4829.0,0.52,3.88,47.57,1.77,53.75
4830.0,0.48,4.02,49.24,1.76,55.5
4831.0,0.48,4.02,53.13,2.09,59.73
4832.0,0.52,4.06,66.93,1.59,73.1
4833.0,0.52,4.06,49.74,1.69,56.01
4834.0,0.48,4.15,52.16,2.51,59.29
4835.0,0.48,4.15,50.08,1.88,56.59
4836.0,0.54,4.05,50.94,1.94,57.47
4837.0,0.54,4.05,48.94,2.07,55.6
4838.0,0.5,4.04,50.6,2.24,57.39
4839.0,0.5,4.04,48.58,2.09,55.22
4840.0,0.51,3.9,51.22,2.17,57.81
4841.0,0.51,3.9,52.89,2.33,59.63
4842.0,0.51,3.82,49.46,2.11,55.9
4843.0,0.51,3.82,52.3,2.06,58.69
4844.0,0.51,4.03,52.24,1.9,58.67
4845.0,0.51,4.03,52.06,1.65,58.25
4846.0,0.52,3.92,54.07,1.19,59.7
4847.0,0.52,3.92,49.27,1.69,55.4
4848.0,0.53,3.95,51.71,1.79,57.98
4849.0,0.53,3.95,52.45,1.67,58.6
4850.0,0.53,4.12,49.98,2.44,57.08
4851.0,0.53,4.12,48.36,2.14,55.16
4852.0,0.54,4.14,50.29,1.92,56.88
4853.0,0.54,4.14,48.92,1.73,55.33
4854.0,0.53,3.97,50.04,1.89,56.43
4855.0,0.53,3.97,52.41,1.84,58.75
4856.0,0.53,4.04,51.54,2.04,58.15
4857.0,0.53,4.04,51.42,1.84,57.83
4858.0,0.53,3.82,59.23,2.33,65.91
4859.0,0.53,3.82,55.25,2.33,61.93
4860.0,0.49,4.03,53.11,2.43,60.06
4861.0,0.49,4.03,49.66,2.71,56.9
4862.0,0.5,3.89,55.46,2.63,62.47
4863.0,0.5,3.89,48.94,1.66,54.99
4864.0,0.49,4.11,50.22,1.82,56.64
4865.0,0.49,4.11,48.61,2.67,55.88
4866.0,0.48,4.05,73.79,2.05,80.37
4867.0,0.48,4.05,55.47,2.39,62.39
4868.0,0.51,3.85,53.66,2.42,60.44
4869.0,0.51,3.85,49.82,1.9,56.09
4870.0,0.52,3.86,51.86,2.12,58.36
4871.0,0.52,3.86,49.63,2.05,56.06
4872.0,0.51,3.92,50.48,2.15,57.07
4873.0,0.51,3.92,48.91,2.02,55.37
4874.0,0.51,3.93,52.42,2.52,59.37
4875.0,0.51,3.93,49.3,2.25,55.99
4876.0,0.5,3.94,55.34,2.09,61.87
4877.0,0.5,3.94,47.57,2.45,54.45
4878.0,0.47,4.07,63.39,2.03,69.97
4879.0,0.47,4.07,52.69,2.09,59.33
4880.0,0.53,3.8,51.05,2.16,57.54
4881.0,0.53,3.8,49.41,2.1,55.84
4882.0,0.49,3.84,57.42,2.42,64.17
4883.0,0.49,3.84,50.1,1.79,56.22
4884.0,0.51,3.97,50.45,1.94,56.87
4885.0,0.51,3.97,48.94,2.31,55.72
4886.0,0.52,3.88,49.93,2.26,56.59
4887.0,0.52,3.88,51.37,2.26,58.03
4888.0,0.54,3.98,49.01,2.01,55.53
4889.0,0.54,3.98,53.18,1.55,59.24
4890.0,0.52,3.97,54.5,2.36,61.35
4891.0,0.52,3.97,52.86,2.49,59.85
4892.0,0.52,4.01,51.92,2.21,58.65
4893.0,0.52,4.01,54.31,2.03,60.87
4894.0,0.52,3.93,50.84,1.9,57.19
4895.0,0.52,3.93,49.4,2.28,56.13
4896.0,0.53,4.04,51.17,2.18,57.93
4897.0,0.53,4.04,54.03,2.01,60.61
4898.0,0.52,3.82,53.1,1.88,59.31
4899.0,0.52,3.82,63.04,1.82,69.2
4900.0,0.53,3.79,50.14,1.62,56.08
4901.0,0.53,3.79,48.63,1.74,54.69
4902.0,0.53,3.71,74.07,1.77,80.09
4903.0,0.53,3.71,65.03,1.42,70.7
4904.0,0.49,3.78,51.81,2.24,58.32
4905.0,0.49,3.78,50.08,2.03,56.38
4906.0,0.5,3.87,53.52,2.25,60.15
4907.0,0.5,3.87,50.21,1.96,56.54
4908.0,0.53,3.85,65.55,2.11,72.04
4909.0,0.53,3.85,49.23,2.05,55.65
4910.0,0.53,3.71,50.73,2.45,57.42
4911.0,0.53,3.71,48.07,1.86,54.17
4912.0,0.48,3.94,49.0,2.29,55.71
4913.0,0.48,3.94,50.79,1.9,57.12
4914.0,0.5,3.82,48.76,2.38,55.46
