msg_count,ind_latency,recv_latency,class_latency,alloc_latency,tot_latency
642.0,10.9,7.38,69.63,1.53,89.43
643.0,10.58,5.88,74.48,1.51,92.44
644.0,10.21,7.33,76.89,1.24,95.67
645.0,9.74,5.79,93.48,3.37,112.38
646.0,12.37,64.22,83.66,1.46,161.71
647.0,11.94,146.43,99.51,2.21,260.09
648.0,10.53,169.55,103.68,1.21,284.97
649.0,10.53,157.19,85.19,4.14,257.05
650.0,10.47,5.0,93.62,2.78,111.86
651.0,10.39,86.62,100.76,1.49,199.26
652.0,10.51,4.8,99.6,1.22,116.13
653.0,10.78,7.49,88.53,1.59,108.39
654.0,11.52,50.64,92.4,1.06,155.62
655.0,11.34,6.85,89.37,1.31,108.87
656.0,10.29,5.19,89.04,4.07,108.59
657.0,10.34,33.43,97.55,1.48,142.81
658.0,10.19,48.09,89.06,1.39,148.73
659.0,10.89,30.37,97.66,1.47,140.39
660.0,10.73,4.06,94.47,2.02,111.28
661.0,11.74,46.72,101.22,2.29,161.98
662.0,10.24,4.48,90.96,1.87,107.56
663.0,11.1,23.56,102.25,2.02,138.93
664.0,11.31,6.58,102.93,1.36,122.19
665.0,10.93,4.27,74.12,2.1,91.43
666.0,13.57,41.7,77.48,1.62,134.37
667.0,10.63,30.71,89.67,3.86,134.86
668.0,11.13,7.93,82.74,1.19,103.0
669.0,10.06,6.07,92.63,1.08,109.85
670.0,9.38,97.56,88.7,1.32,196.97
671.0,10.77,6.94,89.58,1.44,108.74
672.0,12.68,65.31,83.04,2.73,163.76
673.0,10.94,4.53,81.71,1.87,99.05
674.0,10.43,5.7,100.6,1.16,117.89
675.0,10.93,53.65,108.53,2.71,175.82
676.0,10.41,5.31,101.96,1.24,118.92
677.0,9.82,70.81,96.74,1.4,178.77
678.0,10.11,158.63,104.51,1.57,274.82
679.0,10.26,9.09,107.02,1.38,127.75
680.0,10.29,38.54,96.77,2.46,148.06
681.0,12.06,5.18,93.74,1.17,112.16
682.0,10.51,36.66,87.17,1.79,136.13
683.0,10.46,8.26,97.25,1.73,117.7
684.0,9.73,6.75,98.42,2.01,116.91
685.0,12.01,3.79,91.63,1.67,109.1
686.0,10.22,79.55,71.03,1.27,162.07
687.0,10.07,77.31,108.71,2.14,198.22
688.0,15.72,115.92,101.38,1.58,234.6
689.0,10.44,4.44,78.63,1.18,94.7
690.0,10.54,4.74,77.83,1.1,94.2
691.0,10.46,29.43,74.45,0.99,115.33
692.0,10.4,4.89,97.28,1.62,114.19
693.0,10.92,5.61,61.69,1.15,79.36
694.0,10.17,30.17,66.02,2.46,108.82
