IndLatency,DRB.UEThpDl,DRB.UEThpUl
0.12516104,0.049408536,-0.12208306
-0.4867364,0.008708388,-0.23320314
-0.025621168,0.016939878,-0.11623464
1.0,-0.047235258,-0.48583898
0.21808212,0.12440656,-0.12793148
-0.47972724,-0.08016122,-0.285839
-0.29212564,0.028220065,-0.11623464
-0.3780376,-0.031839333,-0.285839
0.28295237,0.0736457,-0.11623464
-0.16939425,-0.05744841,-0.2215063
-0.35699588,0.07334083,-0.098689355
-0.076466,-0.039003767,-0.285839
0.046258193,0.037823472,-0.12208306
0.023471378,-0.030314974,-0.2682937
-0.16939425,-0.030467413,-0.2916874
0.28996867,0.045902528,-0.13377991
-0.025621168,-0.03016255,-0.2916874
0.03749679,0.09254764,-0.10453779
-0.041406043,-0.07452113,-0.29753584
-0.19218826,0.039957564,-0.11623464
-0.025621168,-0.05165588,-0.27999055
-0.46394238,0.06998726,-0.10453779
-0.23426452,-0.013852,-0.27999055
-0.120301716,0.014653347,-0.27414212
0.016455077,-0.018577479,-0.285839
-0.20621368,0.06800561,-0.098689355
0.3478298,-0.053180225,-0.285839
0.16723728,0.038433213,-0.063598804
-0.15536886,-0.03504046,-0.27999055
-0.44290784,0.0553535,-0.110386215
0.10938334,-0.053485103,-0.2916874
-0.2570585,0.08553563,-0.098689355
-0.4937527,-0.03580264,-0.285839
-0.5726483,-0.069795646,-0.285839
-0.34997958,0.04011,-0.12208306
0.2250984,-0.030772276,-0.285839
0.0743162,0.06206064,-0.11623464
-0.120301716,-0.056991108,-0.285839
0.28295237,0.039957564,-0.12208306
0.28295237,-0.043119512,-0.27414212
-0.364005,-0.0830575,-0.285839
-0.44290784,0.067395866,-0.098689355
0.116392456,-0.061106853,-0.285839
0.13918646,0.08065771,-0.12208306
-0.364005,-0.017815307,-0.285839
-0.34997958,0.010690041,-0.11623464
-0.06244058,-0.067813985,-0.27999055
-0.29913476,0.038280778,-0.110386215
-0.59369004,-0.016748264,-0.23905158
0.05327449,0.074255444,0.45691106
-0.5656392,0.04712201,-0.12208306
0.31101036,-0.046625532,-0.285839
-0.44290784,0.004287772,-0.12208306
-0.50076175,0.041177046,-0.2916874
-0.33595416,0.018616661,-0.110386215
0.16723728,-0.07802714,-0.2916874
-0.3780376,0.074407876,-0.10453779
0.16022816,-0.059582494,-0.27999055
-0.106276296,-0.03488802,-0.2916874
0.0743162,0.05474376,-0.034356676
-0.5060258,-0.05821059,-0.27414212
0.12516104,-0.02802845,0.30485198
0.19704758,0.014958218,-0.075295664
0.0672999,-0.017510436,-0.27414212
0.05327449,0.09529147,-0.10453779
-0.22724822,0.037366167,-0.11623464
0.24614012,-0.08915489,-0.285839
0.25314924,0.03462234,-0.110386215
-0.44290784,-0.02025427,-0.285839
-0.31316018,0.041786782,-0.11623464
0.16723728,-0.04601579,-0.27999055
0.009445958,0.066938564,-0.11623464
0.0672999,0.07044457,-0.11623464
1.0,-0.041137867,-0.27414212
0.07957304,0.061603338,-0.110386215
0.0672999,-0.039308645,-0.285839
-0.5428452,0.074255444,-0.110386215
-0.449917,-0.051503442,-0.285839
0.2040567,0.05169506,-0.09284093
0.13217016,-0.045863353,-0.2916874
-0.5586229,0.045140356,-0.11623464
-0.39907214,-0.04296709,-0.285839
0.1812627,0.070597,-0.110386215
0.31801948,-0.018272616,-0.285839
0.09535074,0.018616661,-0.12208306
0.023471378,-0.02741871,-0.285839
-0.055431463,0.04346357,-0.110386215
-0.5218035,-0.056991108,-0.27999055
-0.44290784,0.037366167,-0.11623464
0.08834162,-0.025894366,-0.285839
0.31801948,0.058249764,-0.12208306
0.2040567,-0.057143547,-0.285839
0.030480497,0.08370641,-0.110386215
0.03749679,-0.053485103,-0.285839
-0.27108392,0.038128342,-0.11623464
-0.34997958,0.010537602,-0.2682937
0.009445958,0.029134676,-0.10453779
-0.27810022,-0.048302315,-0.2916874
-0.24128082,-0.04296709,-0.285839
-0.24128082,0.054896194,-0.11623464
-0.47972724,-0.05805815,-0.285839
-0.19919738,0.060688727,-0.110386215
-0.26406762,-0.077569835,-0.27999055
-0.26406762,0.10840089,-0.11623464
-0.449917,-0.03625994,-0.27999055
-0.6217409,-0.00043771416,-0.11623464
0.23210752,-0.051503442,-0.285839
-0.72869456,0.06388986,-0.11623464
-0.28510934,-0.087173246,-0.27999055
0.2250984,0.11312637,-0.098689355
-0.4078407,-0.04327195,-0.26244527
-0.17640337,0.054286454,-0.098689355
-0.19218826,-0.061106853,-0.23320314
-0.29913476,-0.047235258,-0.285839
-0.39206302,-0.031839333,0.20542875
-0.2202391,-0.00043771416,-0.23320314
-0.15536886,0.035689384,-0.11623464
-0.24128082,-0.039765947,-0.2916874
-0.090498604,0.0431587,-0.110386215
-0.27108392,-0.031382017,-0.23320314
-0.34297046,0.05139019,-0.12208306
-0.06244058,0.030811466,-0.10453779
-0.27810022,-0.012327649,-0.2916874
0.19704758,0.037213735,-0.11623464
-0.38504672,-0.03504046,-0.2916874
-0.055431463,0.025933541,-0.12793148
0.13918646,-0.02025427,-0.2916874
-0.27810022,0.024866499,-0.10453779
0.23210752,-0.030314974,-0.285839
-0.33595416,0.11358368,-0.110386215
0.28996867,0.0048975125,-0.12208306
0.0743162,-0.04464387,-0.2916874
-0.31316018,0.033860162,-0.12208306
0.05327449,0.054591324,-0.12793148
0.26892695,-0.032144196,-0.2916874
-0.51479435,0.038128342,-0.11623464
0.17425358,-0.026504107,-0.285839
-0.09750772,0.049560968,-0.110386215
0.2250984,-0.050741278,-0.2916874
-0.06244058,0.043616004,-0.110386215
0.32503578,-0.017358005,-0.2916874
-0.14134341,-0.01979696,-0.2916874
-0.14134341,-0.05226562,-0.285839
-0.449917,0.036908865,-0.12208306
0.14619556,-0.032906376,-0.285839
-0.27108392,0.054591324,-0.12208306
-0.24828994,-0.025284626,-0.2916874
-0.034389757,0.07943823,-0.110386215
-0.39206302,-0.07345409,-0.2916874
-0.4569333,0.096663386,-0.110386215
-0.2570585,-0.055009447,-0.27414212
-0.23426452,-0.008059464,-0.110386215
-0.2570585,-0.022693224,-0.285839
-0.5656392,0.01815936,-0.10453779
-0.27108392,-0.025894366,-0.2916874
-0.27108392,0.053676713,-0.11623464
0.23210752,-0.03443072,-0.27999055
0.046258193,0.020903185,-0.11623464
0.211073,-0.012632519,-0.285839
-0.19218826,-0.040528126,-0.27999055
-0.113285415,-0.060344674,-0.2916874
-0.16939425,0.06084116,-0.12208306
0.17425358,-0.048759617,-0.285839
-0.449917,0.039957564,-0.12793148
-0.51479435,-0.034278296,-0.285839
-0.24128082,0.08995625,0.7376355
0.21808212,-0.05897277,0.34579098
-0.14134341,-0.039461084,-0.2916874
-0.35699588,0.07181648,-0.12208306
-0.6147317,-0.047845,-0.29753584
-0.42186615,0.036756426,-0.11623464
0.31801948,-0.04083299,-0.2916874
-0.26406762,-0.0682713,-0.285839
0.0743162,0.11007767,-0.12208306
0.046258193,-0.07192973,-0.285839
-0.5796646,-0.076197915,-0.2916874
-0.27810022,0.042091653,-0.11623464
-0.24828994,-0.02757115,-0.285839
1.0,-0.018577479,-0.26244527
-0.47972724,0.03340286,-0.17471889
-0.18517196,0.051847495,-0.16887048
0.15145959,-0.007754594,-0.24490002
-0.113285415,0.029591985,-0.16302204
-0.16237798,-0.03321124,-0.23905158
-0.58667374,0.0523048,-0.16302204
0.1812627,0.04376844,-0.16887048
-0.27810022,-0.07314921,-0.24490002
-0.33595416,0.06328012,-0.1513252
-0.16237798,-0.021931052,-0.24490002
0.3618552,0.014958218,-0.16302204
-0.27108392,-0.025741927,-0.2215063
-0.42888245,-0.024370015,-0.24490002
-0.120301716,0.09864505,-0.13962835
0.060290787,-0.05622893,-0.25659686
0.16723728,0.055201065,-0.16302204
-0.44290784,-0.038546465,-0.23320314
-0.30615106,-0.015376344,-0.23320314
-0.004586637,0.041329477,-0.1513252
-0.041406043,-0.035497762,-0.26244527
-0.47972724,0.037823472,-0.13962835
0.2040567,-0.04327195,-0.25074843
-0.24128082,0.040567305,-0.14547676
-0.39206302,-0.041137867,-0.25659686
-0.055431463,0.01739718,-0.14547676
0.19704758,-0.0011998937,-0.25659686
-0.2132228,0.03279312,-0.11623464
-0.29913476,-0.04266221,-0.26244527
0.0743162,-0.055009447,0.13524765
-0.5726483,-0.032753937,-0.285839
0.09535074,0.067548305,-0.12208306
0.07957304,-0.058363028,-0.285839
-0.15536886,0.023189709,-0.12208306
0.0024296641,0.05809733,0.46275946
0.14619556,-0.008974075,-0.27999055
0.2250984,0.01770205,-0.11623464
-0.50076175,-0.031077154,0.01827915
-0.9022708,0.06480447,-0.09284093
-0.06945688,-0.05226562,-0.285839
-0.004586637,0.019683704,-0.10453779
0.116392456,-0.07421627,-0.285839
0.0743162,0.07212135,-0.11623464
0.28996867,-0.06644208,-0.2916874
-0.19919738,0.04986584,-0.12208306
-0.3780376,-0.04601579,-0.25659686
0.17425358,0.082486935,-0.02265983
0.0024296641,-0.031686895,-0.2916874
-0.16939425,0.060078986,-0.11623464
0.0672999,-0.010498427,-0.2916874
-0.46394238,0.011604652,-0.12208306
-0.39907214,-0.037936725,-0.285839
-0.43413928,0.028829806,-0.10453779
1.0,-0.022083491,-0.29753584
0.211073,-0.059734933,-0.285839
-0.6866111,0.08050528,-0.10453779
0.08834162,-0.046625532,-0.27999055
0.17425358,0.023494579,-0.09284093
-0.120301716,-0.04967422,-0.27999055
0.0672999,0.0013915077,-0.23320314
-0.3780376,0.06343256,-0.110386215
0.26892695,0.04376844,-0.110386215
-0.30615106,-0.032144196,-0.2215063
-0.2132228,0.08599294,-0.12208306
-0.364005,-0.062173896,-0.1981126
-0.34297046,-0.030619852,-0.285839
-0.3780376,0.04254896,-0.110386215
1.0,-0.039918385,-0.285839
-0.38504672,0.02669572,-0.24490002
-0.4569333,0.07867606,-0.110386215
-0.2132228,-0.09433768,-0.2916874
-0.32017648,0.037213735,-0.11623464
-0.5060258,-0.013699561,-0.23320314
-0.011595756,0.049713403,-0.12208306
-0.42186615,-0.055009447,-0.285839
