,precision,recall,f1-score,support
0,0.9989170652468189,0.996219962199622,0.9975666906993511,11111.0
1,0.9703808180535967,0.9913544668587896,0.9807555238774056,1388.0
accuracy,0.9956796543723498,0.9956796543723498,0.9956796543723498,0.9956796543723498
macro avg,0.9846489416502078,0.9937872145292057,0.9891611072883784,12499.0
weighted avg,0.9957481468450112,0.9956796543723498,0.9956998293865372,12499.0
