,precision,recall,f1-score,support
0,0.9986488920915151,0.997839978399784,0.9982442713726196,11111.0
1,0.9828203292770222,0.989193083573487,0.9859964093357271,1388.0
accuracy,0.9968797503800304,0.9968797503800304,0.9968797503800304,0.9968797503800304
macro avg,0.9907346106842687,0.9935165309866355,0.9921203403541734,12499.0
weighted avg,0.996891147857055,0.9968797503800304,0.9968841599631303,12499.0
