,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9241344195519349,0.9801098010980109,0.9512994103516051,11111.0,1,FGSM,0.7
1.0,0.6909090909090909,0.3559077809798271,0.46980504041844984,1388.0,1,FGSM,0.7
accuracy,0.9107928634290743,0.9107928634290743,0.9107928634290743,0.9107928634290743,1,FGSM,0.7
macro avg,0.807521755230513,0.668008791038919,0.7105522253850275,12499.0,1,FGSM,0.7
weighted avg,0.8982350071064378,0.9107928634290743,0.8978299979612363,12499.0,1,FGSM,0.7
