,precision,recall,f1-score,support
0,0.998225128444652,0.9617496174961749,0.9796479647964796,11111.0
1,0.7630992196209587,0.9863112391930836,0.8604651162790697,1388.0
accuracy,0.9644771581726538,0.9644771581726538,0.9644771581726538,0.9644771581726538
macro avg,0.8806621740328053,0.9740304283446293,0.9200565405377747,12499.0
weighted avg,0.972114658691289,0.9644771581726538,0.9664128424873216,12499.0
