,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9751074498567335,0.9801098010980109,0.9776022263117734,11111.0,1,FGSM,0.1
1.0,0.8339594290007513,0.7997118155619597,0.8164766458256713,1388.0,1,FGSM,0.1
accuracy,0.9600768061444915,0.9600768061444915,0.9600768061444915,0.9600768061444915,1,FGSM,0.1
macro avg,0.9045334394287423,0.8899108083299854,0.8970394360687224,12499.0,1,FGSM,0.1
weighted avg,0.9594331196744706,0.9600768061444915,0.959709410429326,12499.0,1,FGSM,0.1
