,precision,recall,f1-score,support
0,0.9987371459498466,0.996489964899649,0.9976122899490922,11111.0
1,0.9723991507430998,0.9899135446685879,0.9810781863620136,1388.0
accuracy,0.9957596607728618,0.9957596607728618,0.9957596607728618,0.9957596607728618
macro avg,0.9855681483464732,0.9932017547841185,0.989345238155553,12499.0
weighted avg,0.9958123409776918,0.9957596607728618,0.9957761961992831,12499.0
