Mensagem,Latência (ms)
1,0.799560546875
2,1.632080078125
3,1.0546875
4,1.0107421875
5,1.794189453125
6,1.302978515625
7,1.08740234375
8,1.02880859375
9,1.741455078125
10,1.258056640625
11,1.521240234375
12,1.4052734375
13,0.893798828125
14,1.031005859375
15,1.126953125
16,1.620361328125
17,1.407958984375
18,1.479736328125
19,1.083740234375
20,0.60693359375
21,1.211181640625
22,1.599365234375
23,0.969482421875
24,1.017578125
25,1.346435546875
26,0.986083984375
27,1.275146484375
28,1.571044921875
29,1.562744140625
30,0.96044921875
31,1.2685546875
32,0.94091796875
33,0.99755859375
34,1.695556640625
35,1.387451171875
36,1.24267578125
37,0.930419921875
38,1.5166015625
39,1.28466796875
40,0.815673828125
41,0.591552734375
42,1.13232421875
43,1.103515625
44,1.138671875
45,1.544921875
46,1.608154296875
47,0.80224609375
48,0.8701171875
49,1.577880859375
50,1.3662109375
51,1.157470703125
52,1.63037109375
53,1.153564453125
54,0.627197265625
55,1.10205078125
56,0.93359375
57,0.686279296875
58,0.62109375
59,0.668212890625
60,1.579833984375
61,1.574951171875
62,1.159912109375
63,1.053466796875
64,1.430908203125
65,0.9501953125
66,1.291748046875
67,1.069091796875
68,0.90771484375
69,1.842529296875
70,0.964599609375
71,1.619873046875
72,1.02880859375
73,0.7939453125
74,1.03076171875
75,1.587646484375
76,1.104736328125
77,1.110107421875
78,1.21142578125
79,1.282958984375
80,1.06982421875
81,1.364013671875
82,0.75048828125
83,0.898681640625
84,1.200439453125
85,1.642578125
86,0.93359375
87,0.61083984375
88,0.882080078125
89,1.42236328125
90,1.603515625
91,1.1884765625
92,1.222412109375
93,1.09716796875
94,1.111328125
95,1.149169921875
96,1.77978515625
97,1.125
98,1.343505859375
99,0.9140625
100,1.2734375
101,1.577880859375
102,0.9482421875
103,1.263671875
104,1.29541015625
105,1.67822265625
106,1.765625
107,1.812255859375
108,1.082763671875
109,1.432373046875
110,0.794189453125
111,0.9833984375
112,1.294677734375
113,0.919677734375
114,0.71826171875
115,1.5712890625
116,1.26708984375
117,0.722412109375
118,1.640380859375
119,1.582763671875
120,1.074951171875
121,1.084716796875
122,1.509765625
123,1.44873046875
124,1.50537109375
125,1.3505859375
126,1.65478515625
127,1.5166015625
128,1.02490234375
129,0.95654296875
130,1.20751953125
131,1.683837890625
132,1.100341796875
133,1.715576171875
134,1.4677734375
135,1.028564453125
136,1.59619140625
137,1.854248046875
138,0.900634765625
139,1.6005859375
140,1.481689453125
141,1.488037109375
142,1.938720703125
143,1.451171875
144,1.292236328125
145,1.033935546875
146,1.414306640625
147,1.72265625
148,1.182373046875
149,0.857177734375
150,1.56298828125
