,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9710997891777934,0.994959949599496,0.9828850855745721,11111.0,3,PGD,0.7
1.0,0.9497757847533632,0.7629682997118156,0.8461845785057931,1388.0,3,PGD,0.7
accuracy,0.9691975358028643,0.9691975358028643,0.9691975358028643,0.9691975358028643,3,PGD,0.7
macro avg,0.9604377869655782,0.8789641246556558,0.9145348320401826,12499.0,3,PGD,0.7
weighted avg,0.9687317822859532,0.9691975358028643,0.9677046468345557,12499.0,3,PGD,0.7
