,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9833007639012258,0.9963996399639964,0.9898068669527897,11110.0,4,FGSM,0.5
1.0,0.967767929089444,0.8646508279337654,0.9133079847908745,1389.0,4,FGSM,0.5
accuracy,0.9817585406832546,0.9817585406832546,0.9817585406832546,0.9817585406832546,4,FGSM,0.5
macro avg,0.9755343464953349,0.9305252339488809,0.9515574258718321,12499.0,4,FGSM,0.5
weighted avg,0.9815746172052049,0.9817585406832546,0.9813056310680871,12499.0,4,FGSM,0.5
