,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9971223021582734,0.998019801980198,0.9975708502024292,11110.0,5,FGSM,0.9
1.0,0.9840464104423495,0.9769618430525558,0.9804913294797688,1389.0,5,FGSM,0.9
accuracy,0.9956796543723498,0.9956796543723498,0.9956796543723498,0.9956796543723498,5,FGSM,0.9
macro avg,0.9905843563003114,0.987490822516377,0.989031089841099,12499.0,5,FGSM,0.9
weighted avg,0.995669192822053,0.9956796543723498,0.9956728220174723,12499.0,5,FGSM,0.9
