,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9823197260020364,0.9551755175517552,0.9685574772965819,11110.0,5,PGD,0.8
1.0,0.7063679245283019,0.8624910007199424,0.7766612641815235,1389.0,5,PGD,0.8
accuracy,0.9448755900472038,0.9448755900472038,0.9448755900472038,0.9448755900472038,5,PGD,0.8
macro avg,0.8443438252651692,0.9088332591358488,0.8726093707390528,12499.0,5,PGD,0.8
weighted avg,0.9516535085248768,0.9448755900472038,0.9472322640781792,12499.0,5,PGD,0.8
