,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9931756567261849,0.9562556255625563,0.9743660292566607,11110.0,4,FGSM,0.5
1.0,0.730299667036626,0.9474442044636429,0.8248198057035412,1389.0,4,FGSM,0.5
accuracy,0.9552764221137691,0.9552764221137691,0.9552764221137691,0.9552764221137691,4,FGSM,0.5
macro avg,0.8617376618814054,0.9518499150130996,0.899592917480101,12499.0,4,FGSM,0.5
weighted avg,0.9639625397025192,0.9552764221137691,0.9577471233829682,12499.0,4,FGSM,0.5
