,precision,recall,f1-score,support
0,0.998780602194916,0.958329583295833,0.9781370567701635,11111.0
1,0.7480957562568009,0.9906340057636888,0.8524488530688159,1388.0
accuracy,0.9619169533562685,0.9619169533562685,0.9619169533562685,0.9619169533562685
macro avg,0.8734381792258585,0.9744817945297608,0.9152929549194897,12499.0
weighted avg,0.9709423298401595,0.9619169533562685,0.9641795220283865,12499.0
