IndLatency,DRB.UEThpDl,DRB.UEThpUl
1.0,-0.7615382,-0.9877994
-0.57545877,-0.65435845,-0.8234942
-1.0,-0.6945509,-0.934987
1.0,-0.7497966,-0.9877994
-0.48237222,-0.58029604,-0.8293622
-1.0,-0.7823118,-0.9877994
-1.0,-0.73459274,-0.9877994
-0.41738644,-0.63042367,-0.8176261
-0.8705387,-0.75988233,-0.9232509
-1.0,-0.6307247,-0.800022
-0.7774449,-0.7416678,-0.9877994
-0.65450215,-0.665799,-0.8234942
-0.67732954,-0.7330874,-0.9701953
-0.9724094,-0.6659495,-0.34818256
-0.8705387,-0.733238,-0.9936675
-0.7265095,-0.73293686,-0.9936675
-0.7423225,-0.7767421,-0.9995355
-1.0,-0.6340365,-0.80589
-1.0,-0.67633635,-0.80589
-0.8213587,-0.68868005,-0.9760633
-0.5491134,-0.70222807,-0.7941539
-0.68435836,-0.72149634,-0.9877994
-0.9074236,-0.63599336,-0.800022
-0.8564883,-0.737754,-0.9819313
-1.0,-0.6484877,-0.81175804
-0.9934886,-0.7485924,-0.9819313
-1.0,-0.67558366,-0.800022
-0.958359,-0.618682,-0.800022
-1.0,-0.7385066,-0.9877994
-0.9724094,-0.6651969,-0.7941539
-1.0,-0.77207553,-0.9877994
-1.0,-0.663541,-0.8234942
-0.8213587,-0.75943077,-0.9877994
-0.41738644,-0.6636915,-0.8234942
-0.41738644,-0.7457322,-0.9760633
-0.5403292,-0.65194994,-0.8234942
-1.0,-0.785172,-0.9877994
-1.0,-0.63659555,-0.800022
-1.0,-0.76891434,-0.9936675
-0.44021386,-0.62771404,-0.8176261
-0.584243,-0.76349515,-0.9877994
-1.0,-0.72074366,-0.9877994
-0.76339453,-0.7701186,-0.9819313
-1.0,-0.71968997,-0.940855
-0.64747334,-0.62982154,-0.24255776
-1.0,-0.76048446,-0.8645705
-1.0,-0.6989163,-0.8234942
-0.5403292,-0.76198983,-0.9819313
-0.5403292,-0.64336956,-0.80589
