IndLatency,DRB.UEThpDl,DRB.UEThpUl
1.0,-0.8615382,-1.0
-0.6754587,-0.7543584,-0.9234941
-1.0,-0.79455084,-1.0
1.0,-0.8497966,-1.0
-0.5823722,-0.680296,-0.9293622
-1.0,-0.8823118,-1.0
-1.0,-0.8345927,-1.0
-0.51738644,-0.7304236,-0.9176261
-0.9705386,-0.85988235,-1.0
-1.0,-0.7307247,-0.900022
-0.87744486,-0.8416678,-1.0
-0.7545021,-0.765799,-0.9234941
-0.7773295,-0.8330874,-1.0
-1.0,-0.7659495,-0.44818252
-0.9705386,-0.8332379,-1.0
-0.8265095,-0.8329369,-1.0
-0.84232247,-0.87674206,-1.0
-1.0,-0.73403645,-0.90589
-1.0,-0.7763363,-0.90589
-0.92135864,-0.78868,-1.0
-0.64911336,-0.80222803,-0.8941539
-0.7843583,-0.8214963,-1.0
-1.0,-0.7359933,-0.900022
-0.95648825,-0.8377539,-1.0
-1.0,-0.74848765,-0.91175807
-1.0,-0.8485923,-1.0
-1.0,-0.7755836,-0.900022
-1.0,-0.718682,-0.900022
-1.0,-0.8385066,-1.0
-1.0,-0.7651968,-0.8941539
-1.0,-0.87207556,-1.0
-1.0,-0.763541,-0.9234941
-0.92135864,-0.85943073,-1.0
-0.51738644,-0.7636915,-0.9234941
-0.51738644,-0.8457322,-1.0
-0.6403292,-0.7519499,-0.9234941
-1.0,-0.88517195,-1.0
-1.0,-0.7365955,-0.900022
-1.0,-0.8689143,-1.0
-0.5402138,-0.727714,-0.9176261
-0.68424296,-0.8634951,-1.0
-1.0,-0.8207436,-1.0
-0.8633945,-0.8701186,-1.0
-1.0,-0.8196899,-1.0
-0.7474733,-0.7298215,-0.34255773
-1.0,-0.8604845,-0.9645704
-1.0,-0.7989163,-0.9234941
-0.6403292,-0.8619898,-1.0
-0.6403292,-0.74336946,-0.90589
-0.9073083,-0.8376034,-1.0
-1.0,-0.860635,-1.0
-0.6333076,-0.736746,-0.9176261
-0.6754587,-0.8308294,-0.49512687
-0.60344416,-0.78837895,-0.8765498
-0.73342294,-0.82044256,-1.0
-0.7474733,-0.70904785,-0.90589
-0.89852405,-0.8282703,-1.0
-1.0,-0.76625055,-0.9176261
-0.5472426,-0.7689602,-0.91175807
-1.0,-0.8231522,-1.0
-1.0,-0.7618851,-0.9176261
-0.7913799,-0.7370471,-0.9176261
-0.5753434,-0.8368507,-1.0
-0.73342294,-0.7335848,-0.9176261
1.0,-0.8437753,-1.0
-1.0,-0.7298215,-0.91175807
-0.5753434,-0.86936593,-1.0
-1.0,-0.7374987,-0.9234941
-0.59642255,-0.7521004,-0.8941539
-0.6684371,-0.8484418,-1.0
-1.0,-0.75857335,-0.9176261
-1.0,-0.84558165,-1.0
-0.61925715,-0.73343426,-0.91175807
-0.48225683,-0.82119524,-1.0
-0.8563729,-0.76022923,-0.91175807
-1.0,-0.85943073,-1.0
-1.0,-0.76625055,-0.9176261
-0.71234375,-0.8287219,-1.0
-0.48225683,-0.74562746,-0.9234941
-0.59642255,-0.85958123,-1.0
-0.7703079,-0.7204884,-0.91175807
-0.76327914,-0.8559685,-1.0
-1.0,-0.7654979,-0.9176261
-1.0,-0.79274446,-1.0
-0.7913799,-0.7743794,-0.90589
-1.0,-0.85085034,-1.0
-0.8054375,-0.75164884,-0.9293622
-1.0,-0.84558165,-1.0
-1.0,-0.7489392,-0.9176261
-1.0,-0.8604845,-1.0
-1.0,-0.74321896,-0.91175807
-1.0,-0.87975276,-1.0
-1.0,-0.696102,-0.9176261
-1.0,-0.8389582,-1.0
-1.0,-0.80358285,-0.9176261
-0.5683218,-0.85401154,-1.0
-1.0,-0.74005777,-0.9176261
-1.0,-0.88923633,-1.0
-0.5753434,-0.69143546,-0.900022
-1.0,-0.8458827,-1.0
-0.9775602,-0.74954134,-0.900022
-0.9933732,-0.73328376,-0.9234941
-1.0,-0.8497966,-1.0
-0.7474733,-0.78386295,-0.5362032
-1.0,-0.80358285,-1.0
-0.95648825,-0.7679064,-0.9176261
-1.0,-0.84242046,-1.0
-0.8915025,-0.7605303,-0.91175807
-1.0,-0.83414114,-1.0
-1.0,-0.824507,-1.0
-1.0,-0.8153244,-1.0
-0.60344416,-0.7664011,-0.9176261
-1.0,-0.8377539,-1.0
-0.8563729,-0.77754056,-0.9293622
-0.66140836,-0.8231522,-1.0
-1.0,-0.7785943,-0.90589
-0.5542642,-0.8472375,-1.0
-0.5103576,-0.79831415,-0.9234941
-0.7263941,-0.8472375,-1.0
-1.0,-0.7697128,-0.9234941
-1.0,-0.83940977,-1.0
-0.7474733,-0.7492403,-0.9293622
-0.5314368,-0.83489376,-1.0
-0.62627876,-0.82932407,-1.0
-0.89852405,-0.7542079,-0.91175807
-0.5753434,-0.85325885,-1.0
-0.8633945,-0.76007867,-0.91175807
-0.475228,-0.82029206,-1.0
-1.0,-0.7709171,-0.9176261
-0.9424378,-0.82270056,-1.0
-0.6684371,-0.7505951,-0.9176261
-1.0,-0.7492403,-0.9234941
-1.0,-0.82811975,-1.0
-0.8352937,-0.7247034,-0.91175807
-1.0,-0.8756883,-1.0
-1.0,-0.7697128,-0.9176261
-1.0,-0.82209843,-1.0
-1.0,-0.7076931,-0.91175807
-1.0,-0.8574738,-1.0
-1.0,-0.8111095,-0.91175807
-1.0,-0.8255607,-1.0
-1.0,-0.78521776,-0.90589
-1.0,-0.8287219,-1.0
-1.0,-0.75014347,-0.9176261
-0.46117765,-0.7948519,-0.9234941
-0.9933732,-0.84317315,-1.0
-1.0,-0.759025,-0.9176261
-0.9143299,-0.8627424,-1.0
-0.9705386,-0.7430684,-0.9234941
-0.62627876,-0.8513019,-1.0
-1.0,-0.7636915,-0.9293622
-0.5823722,-0.86138767,-0.45405057
-0.8844737,-0.7569175,-0.91175807
-0.9424378,-0.8421194,-1.0
-1.0,-0.73223,-0.9234941
-1.0,-0.8503987,-1.0
-1.0,-0.7668527,-0.9176261
