,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9085856491082538,0.985779857798578,0.9456099456099456,11111.0,1,PGD,0.7
1.0,0.6441441441441441,0.20605187319884727,0.31222707423580787,1388.0,1,PGD,0.7
accuracy,0.8991919353548283,0.8991919353548283,0.8991919353548283,0.8991919353548283,1,PGD,0.7
macro avg,0.7763648966261989,0.5959158654987127,0.6289185099228767,12499.0,1,PGD,0.7
weighted avg,0.8792197151223202,0.8991919353548283,0.875273484655685,12499.0,1,PGD,0.7
