,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.948229590511644,0.985779857798578,0.9666401906274821,11111.0,1,FGSM,0.9
1.0,0.8333333333333334,0.569164265129683,0.6763698630136986,1388.0,1,FGSM,0.9
accuracy,0.939515161212897,0.939515161212897,0.939515161212897,0.939515161212897,1,FGSM,0.9
macro avg,0.8907814619224887,0.7774720614641305,0.8215050268205903,12499.0,1,FGSM,0.9
weighted avg,0.9354704893864744,0.939515161212897,0.9344059947135744,12499.0,1,FGSM,0.9
