IndLatency,DRB.UEThpDl,DRB.UEThpUl
1.0,-0.8616598,-1.0
-0.6720144,-0.75380665,-0.92193675
-0.82582664,-0.7860717,-0.9160328
1.0,-0.84984446,-1.0
-0.57722604,-0.6792789,-0.92784065
-1.0,-0.88256395,-1.0
-1.0,-0.7748623,-0.9160328
-1.0,-0.8345451,-1.0
-0.5110522,-0.7297215,-0.9160328
-0.75250286,-0.7653191,-0.92193675
-0.77574754,-0.8330303,-1.0
-1.0,-0.76547056,-0.44371802
-0.5038949,-0.75729066,-0.9337446
-0.82582664,-0.83287877,-1.0
-0.7614403,-0.71093804,-0.90422493
-0.8419287,-0.8769592,-1.0
-0.99574095,-0.7631984,-0.9160328
-0.82582664,-0.8542373,-1.0
-1.0,-0.81667054,-1.0
-1.0,-0.77592266,-0.90422493
-0.92240983,-0.7883439,-1.0
-0.6451874,-0.80197704,-0.8924171
-0.78290486,-0.82136637,-1.0
-1.0,-0.73532623,-0.89832103
-0.44487104,-0.8557521,-1.0
-0.62909263,-0.76471317,-0.8628974
-0.9581816,-0.8377261,-1.0
-1.0,-0.747899,-0.91012883
-1.0,-0.84863263,-1.0
-1.0,-0.7751652,-0.89832103
-0.68810916,-0.8560551,-1.0
-1.0,-0.8384835,-1.0
-1.0,-0.76471317,-0.8924171
-1.0,-0.8722634,-1.0
-0.5700687,-0.8334847,-1.0
-0.723881,-0.7412339,-0.9160328
-0.92240983,-0.85953915,-1.0
-0.5110522,-0.8457545,-1.0
-0.63624257,-0.751383,-0.92193675
-1.0,-0.7359321,-0.89832103
-1.0,-0.86908233,-1.0
-0.53429693,-0.7269949,-0.9160328
-0.65770715,-0.72275347,-0.92193675
-1.0,-0.820609,-1.0
-1.0,-0.79228234,-0.9160328
-0.863386,-0.87029415,-1.0
-1.0,-0.7648646,-0.91012883
-1.0,-0.8195486,-1.0
-0.74534553,-0.72911555,-0.3374472
-1.0,-0.86059946,-0.9632643
-1.0,-0.75607884,-0.92193675
-0.48243034,-0.8492385,-1.0
-1.0,-0.76198655,-1.0
-1.0,-0.78440547,-0.91012883
-0.62909263,-0.8804432,-1.0
-1.0,-0.7289641,-0.90422493
-0.63624257,-0.7427487,-0.90422493
-0.723881,-0.7485049,-0.8333777
-0.62909263,-0.7360836,-0.9160328
-0.6720144,-0.8307581,-0.4909495
-0.59868324,-0.78804094,-0.87470526
-0.7310383,-0.820306,-1.0
