tx_brate downlink (kbps),rx_brate uplink (kbps),sum_requested_prbs,slice_target
582.9440000000001,0.0,500,0
37.536,100.0,66,1
39.164699999999996,100.0,62,1
20.608,0.0,15,2
0.0,0.0,750,1
64.864,0.0,657,1
40.448,0.0,279,1
27.424,0.0,405,2
0.0,0.0,1004,1
62.144,0.0,72,1
1000.9999999999999,100.0,995,0
16.4498,0.0,23,2
38.559999999999995,0.0,79,1
45.216,100.0,376,1
41.7671,100.0,137,1
401.05600000000004,0.0,500,0
49.535999999999994,0.0,89,2
36.736,100.0,618,1
1011.39,100.0,716,0
0.0,0.0,196,2
0.0,0.0,140,0
32.512,0.0,116,1
251.07200000000003,0.0,141,0
23.68,0.0,77,0
11.072000000000001,100.0,28,2
5.33333,0.0,13,2
38.368,0.0,104,1
10.88,0.0,20,2
17.472,0.0,91,1
15.871500000000001,100.0,42,2
933.408,100.0,250,0
0.0,0.0,502,0
145.12,100.0,500,0
10.687999999999999,0.0,8,2
70.176,0.0,114,1
390.072,0.0,250,0
51.6627,0.0,409,1
1003.5799999999999,0.0,152,0
5.152,0.0,20,2
37.504000000000005,0.0,112,1
23.4217,0.0,708,2
6.04016,100.0,5,0
5.9759,100.0,78,2
18.336000000000002,0.0,95,1
36.2088,100.0,102,1
27.424,0.0,55,2
0.0,0.0,981,1
54.272,100.0,382,1
5.6,0.0,10,2
356.96,0.0,750,0
43.839999999999996,100.0,110,1
5.44,100.0,3,2
38.24,0.0,69,2
63.61450000000001,100.0,912,1
1372.29,100.0,427,0
2.2079999999999997,0.0,45,2
10.624,0.0,8,2
53.2048,100.0,443,1
5.49398,0.0,5,2
18.0884,0.0,580,2
47.711999999999996,0.0,54,1
10.88,0.0,94,2
31.711999999999996,0.0,39,2
16.224,0.0,60,2
9.28,0.0,67,2
29.0442,100.0,100,1
26.656,100.0,21,1
26.048000000000002,100.0,68,1
11.0201,0.0,61,2
27.309199999999997,100.0,38,1
25.951999999999998,0.0,50,1
5.984,100.0,121,2
0.0,100.0,250,0
17.831300000000002,100.0,103,2
10.8273,0.0,53,2
964.096,0.0,518,0
230.304,0.0,1000,0
10.911999999999999,0.0,54,2
30.912,0.0,28,1
961.028,100.0,1083,0
5.152,0.0,12,2
44.704,0.0,930,1
18.4,0.0,152,2
119.392,0.0,420,0
15.456,100.0,12,2
16.257,0.0,59,2
26.666700000000002,0.0,17,1
12.416,0.0,37,2
216.768,0.0,415,0
110.496,100.0,250,0
16.064,100.0,16,2
0.0,0.0,203,0
991.904,0.0,852,0
80.99199999999999,100.0,291,1
982.8430000000001,100.0,750,0
32.3855,100.0,89,1
15.935999999999998,0.0,10,2
538.442,0.0,249,0
10.88,0.0,16,2
37.92,100.0,48,1
27.0201,100.0,27,2
21.9438,0.0,129,2
47.424,0.0,79,1
12.768,0.0,47,2
43.52,0.0,129,1
30.976,100.0,50,1
46.688,100.0,96,1
10.527999999999999,0.0,19,2
13.984,0.0,43,1
30.848,0.0,48,2
31.2289,0.0,250,0
35.903999999999996,100.0,40,1
15.84,0.0,190,2
6.496,100.0,1,1
0.0,0.0,432,2
26.496,100.0,28,1
745.216,0.0,604,0
59.424,0.0,68,1
10.988,0.0,19,2
324.288,0.0,500,0
1138.67,100.0,750,0
264.79999999999995,0.0,60,0
42.496,0.0,42,1
10.463999999999999,100.0,12,2
21.248,0.0,16,2
444.544,100.0,250,0
1205.01,0.0,718,0
122.41000000000001,100.0,750,0
56.768,0.0,103,1
202.763,0.0,250,0
10.56,0.0,55,2
3.872,0.0,204,2
40.992,100.0,500,0
49.12,0.0,112,1
61.2048,100.0,304,1
16.4918,0.0,14,2
167.168,0.0,197,0
21.631999999999998,0.0,34,1
5.46185,0.0,5,2
5.312,0.0,43,2
20.576,0.0,216,1
126.04,100.0,500,0
876.448,0.0,176,0
16.672,0.0,28,1
1321.41,0.0,750,0
6.912,0.0,96,2
26.6345,100.0,45,1
100.273,0.0,250,0
0.0,0.0,292,2
58.602399999999996,100.0,1138,1
988.851,0.0,636,0
26.496,0.0,46,2
112.672,100.0,500,0
687.9680000000001,100.0,164,0
41.7671,100.0,126,1
70.8434,0.0,44,1
489.47200000000004,100.0,250,0
350.048,100.0,500,0
31.936,100.0,234,2
42.687999999999995,100.0,32,1
173.44,0.0,210,0
2.528,0.0,15,2
212.992,100.0,500,0
16.064,0.0,149,2
21.28,0.0,14,2
82.304,100.0,177,1
55.2932,0.0,69,1
31.968000000000004,0.0,119,1
6.752,0.0,77,2
15.456,0.0,20,2
36.512,0.0,129,1
268.384,0.0,230,0
58.2169,0.0,65,1
70.62400000000001,0.0,200,1
8.8,0.0,222,2
344.89599999999996,0.0,329,0
45.376,0.0,228,1
41.888,100.0,1500,0
26.698800000000002,0.0,32,1
5.49398,100.0,8,2
20.6908,0.0,26,1
26.656,100.0,67,1
20.7871,0.0,101,2
357.952,100.0,500,0
46.688,0.0,40,1
11.2,0.0,32,2
5.4079999999999995,0.0,8,2
15.5181,0.0,30,2
254.426,0.0,668,0
37.152,0.0,41,1
112.064,0.0,101,1
48.800000000000004,0.0,50,1
413.472,0.0,339,0
128.992,0.0,76,0
5.5261,100.0,26,2
58.528,0.0,148,1
0.0,0.0,500,1
28.672,100.0,104,1
273.79900000000004,0.0,264,0
695.6139999999999,100.0,500,0
5.42972,0.0,6,2
0.0,0.0,250,2
984.576,100.0,216,0
24.256,0.0,378,2
14.784,0.0,21,2
24.512,100.0,147,2
21.823999999999998,0.0,141,2
14.650599999999999,100.0,20,1
16.416,0.0,63,2
12.4659,0.0,41,2
57.056000000000004,0.0,44,1
17.6,100.0,25,2
40.96,0.0,58,1
381.504,100.0,500,0
27.072,0.0,219,2
0.0,0.0,405,1
6.944,0.0,18,2
309.12,100.0,500,0
36.64,0.0,90,2
5.55823,0.0,85,2
1070.17,0.0,750,0
48.3534,0.0,679,2
21.503999999999998,0.0,35,2
28.241,0.0,69,2
79.904,0.0,558,1
53.365500000000004,0.0,780,1
0.0,0.0,126,1
0.0,0.0,1000,1
6.496,100.0,28,2
31.871999999999996,0.0,39,1
30.848,100.0,232,1
31.2,0.0,50,2
5.152,0.0,18,2
22.848,100.0,170,1
42.528000000000006,0.0,232,1
95.36,0.0,639,1
138.4,100.0,308,0
16.128,0.0,86,2
54.080000000000005,100.0,78,1
5.5261,0.0,7,2
1332.03,0.0,750,0
16.8996,0.0,35,2
11.1807,100.0,396,2
17.408,0.0,168,2
342.4,0.0,250,0
10.88,0.0,30,2
0.0,0.0,500,2
