,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9228008679686196,0.9952295229522953,0.95764767018881,11110.0,4,FGSM,0.3
1.0,0.8974854932301741,0.33405327573794097,0.48688352570828963,1389.0,4,FGSM,0.3
accuracy,0.921753740299224,0.921753740299224,0.921753740299224,0.921753740299224,4,FGSM,0.3
macro avg,0.9101431805993969,0.6646413993451181,0.7222655979485498,12499.0,4,FGSM,0.3
weighted avg,0.9199875984661234,0.921753740299224,0.9053321732143766,12499.0,4,FGSM,0.3
