,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.9018953876189701,0.997839978399784,0.947444881216886,11111.0,3,FGSM,0.7
1.0,0.883495145631068,0.13112391930835735,0.22835633626097868,1388.0,3,FGSM,0.7
accuracy,0.9015921273701896,0.9015921273701896,0.9015921273701896,0.9015921273701896,3,FGSM,0.7
macro avg,0.8926952666250191,0.5644819488540707,0.5879006087389324,12499.0,3,FGSM,0.7
weighted avg,0.8998520612825266,0.9015921273701896,0.867590900866554,12499.0,3,FGSM,0.7
