,precision,recall,f1-score,support,fold,attack,epsilon
0.0,0.8938367215230719,0.997209972099721,0.9426979197685795,11111.0,2,PGD,0.9
1.0,0.6990291262135923,0.05187319884726225,0.096579476861167,1388.0,2,PGD,0.9
accuracy,0.8922313785102808,0.8922313785102808,0.8922313785102808,0.8922313785102808,2,PGD,0.9
macro avg,0.7964329238683321,0.5245415854734916,0.5196386983148733,12499.0,2,PGD,0.9
weighted avg,0.8722035554866244,0.8922313785102808,0.848737411027441,12499.0,2,PGD,0.9
