,precision,recall,f1-score,support
0,0.9977200182398541,0.984609846098461,0.9911215799963762,11111.0
1,0.8885267275097783,0.9819884726224783,0.9329226557152636,1388.0
accuracy,0.9843187454996399,0.9843187454996399,0.9843187454996399,0.9843187454996399
macro avg,0.9431233728748163,0.9832991593604696,0.9620221178558199,12499.0
weighted avg,0.9855942251737413,0.9843187454996399,0.9846586544101545,12499.0
