IndLatency,DRB.UEThpDl,DRB.UEThpUl
1.0,-0.959991,-1.0
-1.0,-0.89280236,-1.0
-0.9290122,-0.88464916,-1.0
1.0,-0.9482141,-1.0
-1.0,-0.8734762,-1.0
-1.0,-0.93296456,-1.0
-1.0,-0.95833015,-1.0
-1.0,-0.82878447,-0.9978031
-0.9824139,-0.94006085,-1.0
-0.8774509,-0.93145466,-1.0
-1.0,-0.8641151,-0.5470165
-1.0,-0.9316057,-1.0
-0.5975519,-0.85596186,-1.0
-0.9290122,-0.93130374,-1.0
-0.86272013,-0.8097603,-1.0
-1.0,-0.8618503,-1.0
-0.9290122,-0.9525927,-1.0
-1.0,-0.8321062,-1.0
-1.0,-0.91514826,-1.0
-1.0,-0.8745331,-1.0
-0.7430263,-0.9005026,-0.9919487
-0.88482,-0.9198288,-1.0
-1.0,-0.83406895,-0.9978031
-0.536781,-0.9541025,-1.0
-0.7264552,-0.86336017,-0.9626769
-1.0,-0.93613523,-1.0
-1.0,-0.8466008,-1.0
-1.0,-0.9470062,-1.0
-1.0,-0.87377816,-0.9978031
-0.7872185,-0.9544045,-1.0
-1.0,-0.81670564,-0.9978031
-1.0,-0.9368902,-1.0
-1.0,-0.86336017,-0.9919487
-1.0,-0.97055995,-1.0
-1.0,-0.86169934,-1.0
-0.66568434,-0.93190765,-1.0
-0.8240491,-0.8399574,-1.0
-0.604921,-0.8618503,-1.0
-0.604921,-0.94413745,-1.0
-0.7338168,-0.85007346,-1.0
-1.0,-0.98369575,-1.0
-1.0,-0.9673893,-1.0
-0.62885374,-0.8257648,-1.0
-0.7798569,-0.96195376,-1.0
-0.75591666,-0.82153714,-1.0
-1.0,-0.8908396,-1.0
-1.0,-0.86351115,-1.0
-1.0,-0.95893407,-1.0
-1.0,-0.854754,-1.0
-0.575452,-0.94761014,-1.0
-1.0,-0.897181,-1.0
-1.0,-0.86064243,-1.0
-1.0,-0.88298833,-1.0
-0.7264552,-0.97871315,-1.0
-1.0,-0.82772756,-1.0
-0.7338168,-0.9604439,-1.0
-0.7338168,-0.84146726,-1.0
-1.0,-0.93598425,-1.0
-0.8240491,-0.8472047,-0.93340504
-1.0,-0.95908505,-1.0
-0.7264552,-0.8348239,-1.0
-0.7706474,-0.9291899,-0.59385145
-0.8314183,-0.9187719,-1.0
-1.0,-0.92662317,-1.0
-1.0,-0.8644171,-1.0
-0.6435845,-0.9897351,-1.0
-0.6362229,-0.8671348,-1.0
-1.0,-0.92148966,-1.0
-1.0,-0.8600385,-1.0
-0.7264552,-0.9470062,-1.0
-0.8921816,-0.83512586,-1.0
-0.66568434,-0.9352293,-1.0
-0.8314183,-0.8316532,-1.0
1.0,-0.9421747,-1.0
-0.81852794,-0.84041035,-1.0
-0.8314183,-0.9403628,-1.0
-0.66568434,-0.9678422,-1.0
-1.0,-0.8355788,-1.0
-1.0,-0.9524417,-1.0
-0.6877842,-0.85022444,-0.9919487
-1.0,-0.8567168,-1.0
-0.80195683,-0.88298833,-1.0
-0.8774509,-0.92858595,-1.0
-0.9603216,-0.85837764,-1.0
-1.0,-0.95787716,-1.0
-1.0,-0.8644171,-1.0
-0.6877842,-0.9580282,-1.0
-0.8700893,-0.81851745,-1.0
-0.86272013,-0.9544045,-1.0
-1.0,-0.89099056,-1.0
-0.8921816,-0.8725703,-1.0
-1.0,-0.94927096,-1.0
-0.90691984,-0.84977144,-1.0
-1.0,-0.9439865,-1.0
-1.0,-0.8470537,-1.0
-1.0,-0.95893407,-1.0
-1.0,-0.8413163,-1.0
-1.0,-0.9373431,-1.0
-0.65832275,-0.9524417,-1.0
-1.0,-0.83814555,-1.0
-0.66568434,-0.7893772,-0.9978031
-1.0,-0.9442885,-1.0
-1.0,-0.8476577,-0.9978031
-1.0,-0.96195376,-1.0
-1.0,-0.8313512,-1.0
-0.84614897,-0.8820824,-0.634832
-1.0,-0.93296456,-0.69337577
-1.0,-0.8660779,-1.0
-0.9971522,-0.8586796,-1.0
-1.0,-0.8505264,-1.0
-1.0,-0.9228485,-1.0
-0.9676832,-0.87090945,-1.0
-1.0,-0.91363835,-1.0
-0.6951458,-0.86456805,-1.0
-0.75591666,-0.92148966,-1.0
-0.65832275,-0.93145466,-1.0
-1.0,-0.7889243,-1.0
-0.6435845,-0.94564736,-1.0
-0.5975519,-0.896577,-1.0
-0.8240491,-0.94564736,-1.0
-1.0,-0.86788976,-1.0
-1.0,-0.9377961,-1.0
-0.84614897,-0.8473557,-1.0
-0.61965173,-0.9332665,-1.0
-1.0,-0.8636621,-1.0
-1.0,-0.8523382,-1.0
-0.9676832,-0.85822666,-1.0
-0.5607213,-0.91862094,-1.0
-1.0,-0.86909765,-1.0
-0.7632858,-0.8487146,-1.0
-1.0,-0.95319664,-1.0
-1.0,-0.86487,-1.0
-0.74855506,-0.9340215,-1.0
-1.0,-0.8473557,-1.0
-1.0,-0.9264722,-1.0
-0.9382217,-0.822745,-1.0
-1.0,-0.9741836,-1.0
-1.0,-0.86788976,-1.0
-1.0,-0.92043275,-1.0
-1.0,-0.9559144,-1.0
-1.0,-0.9270761,-1.0
-1.0,-0.8482616,-1.0
-0.65832275,-0.9355313,-1.0
-0.8535181,-0.88072354,-1.0
-0.6804151,-0.91394037,-1.0
-0.5459906,-0.8931043,-1.0
-1.0,-0.85716975,-1.0
-1.0,-0.96119887,-1.0
-1.0,-0.8411653,-1.0
-1.0,-0.8618503,-1.0
-1.0,-0.93538034,-1.0
-1.0,-0.812327,-0.1606279
-0.6730535,-0.95984,-0.5528708
-0.98978305,-0.855056,-1.0
-1.0,-0.94051385,-1.0
-1.0,-0.948818,-1.0
-1.0,-0.865021,-1.0
-0.56809044,-0.9418727,-1.0
-1.0,-0.8597365,-1.0
-0.66568434,-0.93885297,-1.0
-0.75591666,-0.854905,-1.0
-1.0,-0.9690501,-1.0
-0.8240491,-0.7923969,-1.0
-0.8535181,-0.9726738,-1.0
-1.0,-0.8032679,-1.0
-1.0,-0.97690135,-1.0
-1.0,-0.90442824,-1.0
-1.0,-0.8683427,-1.0
-0.62885374,-0.92979383,-1.0
-1.0,-0.85007346,-1.0
-0.7430263,-0.9091088,-1.0
-1.0,-0.87211734,-1.0
-1.0,-0.93432343,-1.0
-0.86272013,-0.9198288,-1.0
-1.0,-0.8387495,-1.0
-1.0,-0.9231505,-1.0
-1.0,-0.9269251,-1.0
-0.71908605,-0.86743677,-0.47090963
-1.0,-0.80372083,-1.0
-0.7264552,-0.84675175,-1.0
-0.575452,-0.9220936,-1.0
-0.90691984,-0.86049145,-1.0
-0.6877842,-0.9442885,-1.0
-1.0,-0.86124635,-1.0
-1.0,-0.9421747,-1.0
-0.6951458,-0.90261644,-1.0
-0.7945877,-0.82651967,-1.0
-0.8240491,-0.9559144,-0.76362824
-0.89955074,-0.88344127,-1.0
-1.0,-0.93387043,-1.0
-0.80195683,-0.8345219,-1.0
-0.6951458,-0.939155,-1.0
-0.74855506,-0.9103167,-1.0
-0.66568434,-0.8838942,-1.0
-0.7798569,-0.9749386,-1.0
-0.8240491,-0.82999235,-1.0
-0.5975519,-0.9672383,-1.0
-1.0,-0.85203624,-1.0
-0.71908605,-0.81972533,-0.92169625
-0.89955074,-0.9328135,-1.0
-1.0,-0.9651245,-1.0
-0.7798569,-0.8503754,-0.07281232
-0.8314183,-0.91182655,-1.0
-1.0,-0.88993365,-1.0
-1.0,-0.93900394,-1.0
-1.0,-0.8728723,-1.0
-0.8314183,-0.8662289,-1.0
-0.6804151,-0.9605949,-1.0
-1.0,-0.8216881,-1.0
-0.8093184,-0.94761014,-1.0
-0.8314183,-0.9000497,-1.0
-1.0,-0.83859855,-1.0
-1.0,-0.9522907,-1.0
-1.0,-0.9332665,-1.0
-1.0,-0.81625265,-1.0
-1.0,-0.96301067,-1.0
-0.71172446,-0.8828373,-1.0
-1.0,-0.85928357,-1.0
1.0,-0.9409668,-1.0
-1.0,-0.87498605,-1.0
-1.0,-0.8235,-1.0
-1.0,-0.99486864,-1.0
-1.0,-0.86456805,-1.0
-1.0,-0.9149973,-1.0
-0.7872185,-0.8523382,-0.7109389
-1.0,-0.93658817,-1.0
-0.5975519,-0.92964286,-1.0
-1.0,-0.92269754,-1.0
-1.0,-0.84614784,-1.0
-1.0,-0.91076964,-1.0
-0.74855506,-0.90367335,-1.0
-0.65832275,-0.9447414,-1.0
-0.74855506,-0.8429771,-1.0
-1.0,-0.92783105,-1.0
-1.0,-0.9355313,-1.0
-0.7945877,-0.8733252,-1.0
-1.0,-0.9254153,-0.61141455
-1.0,-0.9009556,-1.0
-0.8240491,-0.8666819,-1.0
-1.0,-0.9418727,-1.0
-0.61965173,-0.8539991,-1.0
-1.0,-0.93069977,-1.0
-0.9382217,-0.8730233,-1.0
-1.0,-0.94806314,-1.0
-1.0,-0.8484126,-1.0
-1.0,-0.9124305,-1.0
-0.89955074,-0.8641151,-1.0
-1.0,-0.8879708,-1.0
-1.0,-0.9240564,-1.0
-1.0,-0.9145443,-1.0
-1.0,-0.89159447,-1.0
-1.0,-0.83739066,-1.0
-1.0,-0.9027674,-1.0
-0.6435845,-0.91061866,-1.0
-0.5975519,-0.9536496,-1.0
-1.0,-0.8884238,-1.0
-1.0,-0.9094108,-1.0
-0.56809044,-0.8851021,-1.0
-1.0,-0.90835387,-1.0
-0.8314183,-0.85611284,-1.0
-1.0,-0.93387043,-1.0
-1.0,-0.89401025,-1.0
-1.0,-0.9220936,-1.0
-0.6951458,-0.88887674,-1.0
-1.0,-0.89853984,-1.0
-1.0,-0.89687896,-1.0
-0.9216506,-0.8925004,-1.0
-1.0,-0.8298414,-1.0
-0.86272013,-0.9436845,-1.0
-1.0,-0.8955201,-1.0
-1.0,-0.9272271,-1.0
-1.0,-0.9323606,-1.0
-0.9142815,-0.9062401,-1.0
-1.0,-0.9038243,-1.0
-1.0,-0.90246546,-1.0
-0.86272013,-0.9023145,-1.0
-0.70435536,-0.88057256,-1.0
-1.0,-0.8931043,-1.0
-0.575452,-0.93417245,-1.0
-0.70435536,-0.88993365,-1.0
-0.7430263,-0.86804074,-1.0
-0.8314183,-0.92798203,-1.0
-0.75591666,-0.9057871,-1.0
-1.0,-0.89703,-1.0
-1.0,-0.9000497,-1.0
-0.98978305,-0.928284,-1.0
-0.9290122,-0.8885748,-0.2074629
-1.0,-0.88661194,-1.0
-0.71172446,-0.89099056,-1.0
-0.8314183,-0.88057256,-1.0
-0.8921816,-0.8693996,-1.0
-0.70435536,-0.949422,-1.0
-0.8240491,-0.8977849,-1.0
-1.0,-0.9009556,-1.0
-0.6362229,-0.89325535,-1.0
-0.62885374,-0.9086559,-1.0
-0.75591666,-0.9396079,-1.0
-0.7338168,-0.9082029,-1.0
-0.65832275,-0.8937083,-1.0
-1.0,-0.90322036,-1.0
-0.61965173,-0.875892,-1.0
-1.0,-0.81519574,-1.0
-1.0,-0.88751787,-1.0
-1.0,-0.9063911,-1.0
-0.7338168,-0.9473082,-1.0
-1.0,-0.8725703,-1.0
-1.0,-0.8713624,-1.0
-1.0,-0.91801697,-1.0
-1.0,-0.8677387,-0.32455033
-1.0,-0.9522907,-1.0
-0.6435845,-0.8905376,-1.0
-1.0,-0.8905376,-1.0
-0.89955074,-0.8716644,-1.0
-1.0,-0.93130374,-1.0
-1.0,-0.90895784,-1.0
-0.9382217,-0.8775528,-1.0
-0.6804151,-0.9148463,-1.0
-1.0,-0.92632115,-1.0
-0.8700893,-0.8804215,-1.0
-1.0,-0.93598425,-1.0
-0.5975519,-0.93387043,-1.0
-1.0,-0.8767979,-1.0
-1.0,-0.92858595,-1.0
-1.0,-0.8937083,-1.0
-0.7706474,-0.89521813,-1.0
-1.0,-0.8781568,-1.0
-0.8314183,-0.949573,-1.0
-1.0,-0.86109537,-1.0
-0.8240491,-0.9270761,-1.0
-1.0,-0.90427727,-1.0
-1.0,-0.9240564,-1.0
-1.0,-0.88298833,-1.0
-1.0,-0.92617023,-1.0
-1.0,-0.88480014,-1.0
-1.0,-0.8959731,-1.0
-1.0,-0.9035224,-1.0
-1.0,-0.90593815,-0.42407465
-1.0,-0.8810255,-1.0
-0.71172446,-0.88344127,-1.0
-1.0,-0.9113736,-1.0
-0.8314183,-0.9122795,-1.0
-0.6730535,-0.8943122,-1.0
-0.65832275,-0.9316057,-1.0
-0.575452,-0.8840452,-1.0
-0.65832275,-0.91922486,-1.0
-1.0,-0.8736272,-1.0
-1.0,-0.8630582,-1.0
-0.61228263,-0.8949162,-1.0
-1.0,-0.9418727,-1.0
-1.0,-0.92450935,-1.0
-1.0,-0.95682025,-1.0
-1.0,-0.9053342,-1.0
-0.62885374,-0.9260192,-1.0
-0.7632858,-0.8636621,-1.0
-1.0,-0.9408158,-1.0
-1.0,-0.8532441,-1.0
-1.0,-0.91862094,-1.0
-0.71908605,-0.8577737,-1.0
-1.0,-0.89748293,-1.0
-1.0,-0.93930596,-1.0
-0.80195683,-0.9503279,-1.0
-1.0,-0.92345244,-1.0
-1.0,-0.906844,-1.0
-0.49995795,-0.9082029,-1.0
-1.0,-0.93492734,-1.0
-1.0,-0.812931,-1.0
-1.0,-0.9847526,-1.0
-0.575452,-0.8065896,-1.0
-1.0,-0.95485747,-1.0
-1.0,-0.92632115,-0.7402107
-0.6730535,-0.8618503,-1.0
-1.0,-0.86577594,-1.0
-1.0,-0.948969,-1.0
-1.0,-0.84373206,-1.0
-0.83877987,-0.89853984,-1.0
-0.83877987,-0.9187719,-1.0
-0.74855506,-0.8840452,-1.0
-0.7632858,-0.91711104,-1.0
-1.0,-0.9260192,-1.0
-0.75591666,-0.88661194,-1.0
-0.88482,-0.8926514,-1.0
-0.6362229,-0.8926514,-1.0
-1.0,-0.9091088,-1.0
-1.0,-0.8734762,-1.0
-1.0,-0.9011066,-1.0
-1.0,-0.87317425,-1.0
-0.70435536,-0.86985254,-1.0
-0.7706474,-0.92148966,-1.0
-0.7338168,-0.88766885,-1.0
-0.7338168,-0.917413,-1.0
-0.8314183,-0.9208857,-1.0
-1.0,-0.8469027,-1.0
-0.9142815,-0.9080519,-1.0
-0.6730535,-0.9101657,-1.0
-0.66568434,-0.8484126,-1.0
-0.6730535,-0.94413745,-1.0
-1.0,-0.91076964,-1.0
-0.6877842,-0.88132745,-1.0
-0.604921,-0.91409135,-1.0
-0.61228263,-0.8988418,-1.0
-1.0,-0.88661194,-1.0
-1.0,-0.89325535,-1.0
-1.0,-0.9082029,-1.0
-0.8240491,-0.89295334,-1.0
-1.0,-0.91363835,-1.0
-0.56809044,-0.88132745,-1.0
-0.61228263,-0.92737806,-1.0
-0.6435845,-0.85716975,-1.0
-0.61965173,-0.917262,-1.0
-0.6877842,-0.8665309,-1.0
-1.0,-0.9402119,-1.0
-0.8093184,-0.8609444,-1.0
-0.604921,-0.9439865,-1.0
-0.6509536,-0.82651967,-0.50603586
-0.5901827,-0.9379471,-0.52945334
-0.6877842,-0.8955201,-1.0
-1.0,-0.9260192,-1.0
-1.0,-0.9503279,-1.0
-0.74855506,-0.89521813,-1.0
-0.6509536,-0.886159,-1.0
-0.7798569,-0.9113736,-1.0
-0.83877987,-0.8112701,-1.0
-0.74855506,-0.92390543,-1.0
-1.0,-0.94927096,-1.0
-0.9290122,-0.88344127,-1.0
-0.84614897,-0.88162947,-1.0
-1.0,-0.95168674,-1.0
-1.0,-0.8733252,-1.0
-0.7798569,-0.9504789,-1.0
-0.97505236,-0.84962046,-1.0
-0.9216506,-0.9525927,-1.0
-0.90691984,-0.84780866,-1.0
-0.7430263,-0.959991,-1.0
-1.0,-0.8837432,-1.0
-1.0,-0.9340215,-1.0
-1.0,-0.85430104,-1.0
-0.6804151,-0.93643725,-1.0
-1.0,-0.9376451,-1.0
-0.6877842,-0.85928357,-1.0
-0.7338168,-0.9471572,-0.9158419
-1.0,-0.8618503,-0.775337
-0.7945877,-0.9438355,-1.0
-0.8240491,-0.8419202,-0.95096815
-0.70435536,-0.92148966,-1.0
