IndLatency,DRB.UEThpDl,DRB.UEThpUl
1.0,-1.0,-1.0
-1.0,-0.9928023,-1.0
-1.0,-0.9846491,-1.0
1.0,-1.0,-1.0
-1.0,-0.9734762,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-0.92878443,-1.0
-1.0,-1.0,-1.0
-0.97745085,-1.0,-1.0
-1.0,-0.9641151,-0.6470164
-1.0,-1.0,-1.0
-0.69755185,-0.9559618,-1.0
-1.0,-1.0,-1.0
-0.9627201,-0.90976024,-1.0
-1.0,-0.9618503,-1.0
-1.0,-1.0,-1.0
-1.0,-0.93210614,-1.0
-1.0,-1.0,-1.0
-1.0,-0.9745331,-1.0
-0.8430263,-1.0,-1.0
-0.98481995,-1.0,-1.0
-1.0,-0.9340689,-1.0
-0.636781,-1.0,-1.0
-0.8264552,-0.96336013,-1.0
-1.0,-1.0,-1.0
-1.0,-0.94660074,-1.0
-1.0,-1.0,-1.0
-1.0,-0.9737781,-1.0
-0.8872185,-1.0,-1.0
-1.0,-0.9167056,-1.0
-1.0,-1.0,-1.0
-1.0,-0.96336013,-1.0
-1.0,-1.0,-1.0
-1.0,-0.9616993,-1.0
-0.7656843,-1.0,-1.0
-0.9240491,-0.9399574,-1.0
-0.704921,-0.9618503,-1.0
-0.704921,-1.0,-1.0
-0.83381677,-0.9500734,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-0.7288537,-0.92576474,-1.0
-0.8798569,-1.0,-1.0
-0.8559166,-0.9215371,-1.0
-1.0,-0.99083954,-1.0
-1.0,-0.9635111,-1.0
-1.0,-1.0,-1.0
-1.0,-0.95475394,-1.0
-0.675452,-1.0,-1.0
-1.0,-0.99718094,-1.0
-1.0,-0.9606424,-1.0
-1.0,-0.98298824,-1.0
-0.8264552,-1.0,-1.0
-1.0,-0.9277275,-1.0
-0.83381677,-1.0,-1.0
-0.83381677,-0.9414672,-1.0
-1.0,-1.0,-1.0
-0.9240491,-0.94720465,-1.0
-1.0,-1.0,-1.0
-0.8264552,-0.9348239,-1.0
-0.8706474,-1.0,-0.6938514
-0.93141824,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-0.96441704,-1.0
-0.74358445,-1.0,-1.0
-0.73622286,-0.9671348,-1.0
-1.0,-1.0,-1.0
-1.0,-0.9600384,-1.0
-0.8264552,-1.0,-1.0
-0.99218154,-0.9351258,-1.0
-0.7656843,-1.0,-1.0
-0.93141824,-0.93165314,-1.0
1.0,-1.0,-1.0
-0.9185279,-0.9404103,-1.0
-0.93141824,-1.0,-1.0
-0.7656843,-1.0,-1.0
-1.0,-0.93557876,-1.0
-1.0,-1.0,-1.0
-0.78778416,-0.9502244,-1.0
-1.0,-0.9567168,-1.0
-0.9019568,-0.98298824,-1.0
-0.97745085,-1.0,-1.0
-1.0,-0.9583776,-1.0
-1.0,-1.0,-1.0
-1.0,-0.96441704,-1.0
-0.78778416,-1.0,-1.0
-0.9700892,-0.9185174,-1.0
-0.9627201,-1.0,-1.0
-1.0,-0.9909905,-1.0
-0.99218154,-0.97257024,-1.0
-1.0,-1.0,-1.0
-1.0,-0.9497714,-1.0
-1.0,-1.0,-1.0
-1.0,-0.9470537,-1.0
-1.0,-1.0,-1.0
-1.0,-0.94131625,-1.0
-1.0,-1.0,-1.0
-0.7583227,-1.0,-1.0
-1.0,-0.9381455,-1.0
-0.7656843,-0.8893772,-1.0
-1.0,-1.0,-1.0
-1.0,-0.94765764,-1.0
-1.0,-1.0,-1.0
-1.0,-0.9313512,-1.0
-0.946149,-0.98208237,-0.734832
-1.0,-1.0,-0.79337573
-1.0,-0.96607786,-1.0
-1.0,-0.95867956,-1.0
-1.0,-0.95052636,-1.0
-1.0,-1.0,-1.0
-1.0,-0.9709094,-1.0
-1.0,-1.0,-1.0
-0.79514575,-0.964568,-1.0
-0.8559166,-1.0,-1.0
-0.7583227,-1.0,-1.0
-1.0,-0.88892424,-1.0
-0.74358445,-1.0,-1.0
-0.69755185,-0.99657696,-1.0
-0.9240491,-1.0,-1.0
-1.0,-0.9678897,-1.0
-1.0,-1.0,-1.0
-0.946149,-0.9473557,-1.0
-0.7196517,-1.0,-1.0
-1.0,-0.9636621,-1.0
-1.0,-0.9523382,-1.0
-1.0,-0.9582266,-1.0
-0.66072124,-1.0,-1.0
-1.0,-0.9690976,-1.0
