tx_brate downlink (kbps),tx_pkts downlink,rx_brate uplink (kbps),rx_pkts uplink,slice_target
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,3
19.0843,29.0,0.0,4.0,3
21.4618,55.0,0.0,0.0,3
53.4297,61.0,0.0,0.0,3
29.751,35.0,0.0,0.0,3
25.7028,41.0,0.0,0.0,3
52.6586,52.0,0.0,0.0,3
43.7269,65.0,0.0,0.0,3
44.562200000000004,30.0,0.0,0.0,3
51.3735,23.0,0.0,0.0,3
37.5582,56.0,0.0,0.0,3
46.9719,51.0,0.0,0.0,3
34.730900000000005,55.0,0.0,0.0,3
21.3333,8.0,0.0,0.0,3
28.3373,36.0,0.0,0.0,3
23.5823,35.0,0.0,0.0,3
50.634499999999996,55.0,0.0,0.0,3
76.7871,50.0,0.0,0.0,3
45.686699999999995,39.0,0.0,0.0,3
53.4618,43.0,0.0,0.0,3
66.4096,51.0,0.0,0.0,3
33.2851,22.0,0.0,0.0,3
41.6386,47.0,0.0,0.0,3
37.076299999999996,12.0,0.0,0.0,3
23.68,12.0,0.0,0.0,3
53.056,20.0,100.0,1.0,3
26.666700000000002,10.0,0.0,0.0,3
53.3333,20.0,0.0,0.0,3
50.506,33.0,0.0,0.0,3
21.4297,8.0,0.0,0.0,3
21.4618,8.0,0.0,0.0,3
22.008,24.0,0.0,0.0,3
56.2249,108.0,0.0,0.0,3
21.2048,8.0,0.0,0.0,3
42.730900000000005,17.0,0.0,0.0,3
49.632000000000005,23.0,0.0,0.0,3
39.9357,33.0,0.0,0.0,3
53.3333,20.0,0.0,0.0,3
36.704,12.0,0.0,0.0,3
37.056,13.0,0.0,0.0,3
37.3012,15.0,0.0,0.0,3
21.2048,8.0,0.0,0.0,3
26.9558,13.0,0.0,0.0,3
38.24,22.0,0.0,0.0,3
26.4418,9.0,100.0,1.0,3
46.4578,28.0,0.0,0.0,3
16.2892,7.0,0.0,0.0,3
44.672000000000004,21.0,100.0,1.0,3
37.012,12.0,0.0,0.0,3
48.289199999999994,19.0,0.0,0.0,3
48.7068,22.0,0.0,0.0,3
32.0,12.0,0.0,0.0,3
45.0442,59.0,0.0,0.0,3
24.032,29.0,0.0,0.0,3
52.7229,52.0,0.0,0.0,3
53.376,20.0,0.0,0.0,3
21.6225,11.0,0.0,0.0,3
76.9478,46.0,0.0,0.0,3
63.7751,18.0,0.0,0.0,3
31.808000000000003,10.0,0.0,0.0,3
20.927999999999997,6.0,0.0,0.0,3
31.871499999999997,11.0,0.0,0.0,3
16.0,6.0,0.0,0.0,3
48.0321,18.0,0.0,0.0,3
26.6345,9.0,0.0,0.0,3
21.4618,8.0,0.0,0.0,3
68.8514,25.0,100.0,1.0,3
21.5582,10.0,100.0,1.0,3
42.634499999999996,15.0,0.0,0.0,3
37.2691,12.0,100.0,1.0,3
43.6627,19.0,100.0,1.0,3
37.5261,17.0,100.0,1.0,3
32.064299999999996,12.0,100.0,1.0,3
47.6466,14.0,0.0,0.0,3
21.301199999999998,8.0,0.0,0.0,3
47.9036,17.0,0.0,0.0,3
70.2972,25.0,0.0,0.0,3
42.891600000000004,16.0,100.0,1.0,3
31.775100000000002,11.0,0.0,0.0,3
32.5783,17.0,100.0,1.0,3
53.024,20.0,100.0,1.0,3
47.6145,16.0,0.0,0.0,3
41.5743,16.0,0.0,0.0,3
30.3614,16.0,100.0,1.0,3
26.666700000000002,10.0,100.0,1.0,3
28.2088,21.0,0.0,0.0,3
26.281100000000002,8.0,0.0,0.0,3
51.630500000000005,21.0,0.0,0.0,3
33.0924,20.0,100.0,1.0,3
40.8996,21.0,100.0,1.0,3
32.5783,16.0,100.0,1.0,3
31.743000000000002,17.0,100.0,1.0,3
37.429700000000004,16.0,0.0,0.0,3
51.4056,28.0,0.0,0.0,3
37.9438,19.0,0.0,0.0,3
21.9116,12.0,0.0,0.0,3
41.7992,19.0,0.0,0.0,3
37.2691,14.0,0.0,0.0,3
