,precision,recall,f1-score,support
0,0.9982661069538237,0.984519845198452,0.9913453260229281,11111.0
1,0.8883841661258923,0.9863112391930836,0.9347900307272107,1388.0
accuracy,0.9847187775022002,0.9847187775022002,0.9847187775022002,0.9847187775022002
macro avg,0.9433251365398581,0.9854155421957678,0.9630676783750693,12499.0
weighted avg,0.9860638400629389,0.9847187775022002,0.985064923601098,12499.0
