,precision,recall,f1-score,support
0,0.9990964127586518,0.9952295229522953,0.9971592190106867,11110.0
1,0.9629888268156425,0.9928005759539237,0.9776674937965261,1389.0
accuracy,0.9949595967677414,0.9949595967677414,0.9949595967677414,0.9949595967677414
macro avg,0.9810426197871471,0.9940150494531095,0.9874133564036064,12499.0
weighted avg,0.9950838168009879,0.9949595967677414,0.9949931252173857,12499.0
